
  STATE     Energy(eV)    Strength             Q 1           Q 2
     0(GR)     --           --             0.001404      -0.001405
     1       1.1522     0.0049687664      -0.990799       0.990799
     2       1.2596     0.0004981394      -0.993426       0.993426
     3       1.3492     0.0000237793      -0.993942       0.993941
     4       1.5921     1.4559310299      -0.000015       0.000018
     5       1.7883     0.0010032936      -0.985960       0.985963
     6       1.8615     0.0011520022      -0.033498       0.033497
     7       1.9458     0.0021696438      -0.900940       0.900944
     8       1.9577     0.0004924983      -0.029069       0.029066
     9       2.0025     0.0002035772      -0.033990       0.033993
    10       2.0492     0.0002177156      -0.813785       0.813788
    11       2.0632     0.0047704008      -0.100830       0.100833
    12       2.1027     0.0014852287      -0.040575       0.040572
    13       2.1157     0.0003248192      -0.055159       0.055153
    14       2.1215     0.0056173586      -0.173613       0.173619
    15       2.1354     0.0029308930      -0.735306       0.735307
    16       2.1443     0.0008037126      -0.907486       0.907485
    17       2.1650     0.0017936858      -0.007514       0.007516
    18       2.2034     0.0001915063      -0.058977       0.058970
    19       2.2293     0.0074233111      -0.121169       0.121168
    20       2.2348     0.0014921081      -0.932594       0.932599
    21       2.2625     0.0045376600      -0.766640       0.766639
    22       2.2654     0.0209802619      -0.245384       0.245383
    23       2.2723     0.0053362881      -0.028107       0.028112
    24       2.2916     0.0477782399      -0.011311       0.011312
    25       2.3259     0.0145927627      -0.020509       0.020511
    26       2.3429     0.0025051535      -0.978098       0.978099
    27       2.4066     0.0012718476      -0.013512       0.013512
    28       2.4293     0.0027692028      -0.752327       0.752322
    29       2.4323     0.0009916913      -0.237626       0.237624
    30       2.4334     0.0135681255      -0.011302       0.011296
    31       2.4520     0.0095960363      -0.003678       0.003679
    32       2.4694     0.0042146587      -0.010045       0.010050
    33       2.5139     0.0062479184      -0.012410       0.012412
    34       2.5329     0.0037007468      -0.008672       0.008666
    35       2.5561     0.0021963845      -0.007020       0.007014
    36       2.5674     0.0026601964      -0.406244       0.406239
    37       2.5875     0.0092518054      -0.464276       0.464275
    38       2.6027     0.0055178997      -0.026851       0.026847
    39       2.6077     0.0065524366      -0.022576       0.022568
    40       2.6564     0.0059419862      -0.071029       0.071037
