  STATES      Coupling(eV)
   0    1    -0.0401481800 
   0    2    -0.0204595000 
   0    3     0.0153187700 
   0    4    -0.2485718000 
   0    5     0.0484927400 
   0    6     0.0380557100 
   0    7    -0.0510644600 
   0    8     0.0198439200 
   0    9    -0.0576574700 
   0   10     0.0009448217 
   0   11    -0.0363500800 
   0   12     0.0292079700 
   0   13    -0.0287320900 
   0   14    -0.1165600000 
   0   15    -0.0506778100 
   0   16    -0.0135377900 
   0   17    -0.1244208000 
   0   18     0.0020324240 
   0   19    -0.1354361000 
   0   20    -0.0389238300 
   0   21    -0.0478168400 
   0   22    -0.0389271400 
   0   23     0.0048052170 
   0   24     0.1810968000 
   0   25     0.0244391600 
   0   26    -0.6598753000 
   0   27    -0.1812784000 
   0   28     0.6616146000 
   0   29    -0.6061176000 
   0   30    -0.2542659000 
   0   31     0.0387147200 
   0   32    -0.0696480400 
   0   33     0.1285183000 
   0   34     0.0288894500 
   0   35     0.1012652000 
   0   36     0.0005614762 
   0   37     0.4137064000 
   0   38    -0.7433460000 
   0   39    -0.0106478700 
   0   40    -0.0424194600 
   1    2     0.0191899600 
   1    3    -0.0316485800 
   1    4     0.0277893500 
   1    5     0.1922861000 
   1    6     0.0338944000 
   1    7     0.0119251400 
   1    8    -0.0211369700 
   1    9    -0.0075430390 
   1   10    -0.0036516350 
   1   11     0.0019306080 
   1   12     0.0056025730 
   1   13    -0.0028036500 
   1   14     0.0084041900 
   1   15    -0.0058864460 
   1   16    -0.0982675500 
   1   17    -0.0037573860 
   1   18    -0.0100068300 
   1   19     0.0071532230 
   1   20    -0.0164987300 
   1   21     0.0084081570 
   1   22    -0.0595629800 
   1   23     0.0237019200 
   1   24     0.0262400200 
   1   25    -0.0105881000 
   1   26    -0.0093756510 
   1   27     0.0032178620 
   1   28     0.0124877300 
   1   29    -0.0031478680 
   1   30    -0.0031758970 
   1   31    -0.0034625670 
   1   32    -0.0008998243 
   1   33     0.0006019886 
   1   34     0.0136965600 
   1   35    -0.0060642850 
   1   36     0.0211053000 
   1   37     0.0062183620 
   1   38    -0.0069448210 
   1   39     0.0030227040 
   1   40     0.0002145314 
   2    3    -0.0489412100 
   2    4     0.0091471720 
   2    5     0.1271980000 
   2    6    -0.0325257900 
   2    7    -0.0209732300 
   2    8    -0.0158593700 
   2    9    -0.0061723760 
   2   10     0.0162556300 
   2   11     0.0036917230 
   2   12     0.0088558680 
   2   13    -0.0066637720 
   2   14     0.0017361190 
   2   15     0.0151280400 
   2   16     0.0130799200 
   2   17    -0.0175999400 
   2   18     0.1155173000 
   2   19    -0.0179962200 
   2   20     0.0143841300 
   2   21    -0.0196378400 
   2   22     0.0120023400 
   2   23    -0.0017037900 
   2   24     0.0044501680 
   2   25    -0.0236974300 
   2   26     0.0139770600 
   2   27    -0.0005327954 
   2   28    -0.0049274600 
   2   29    -0.0086112100 
   2   30     0.0020457510 
   2   31    -0.0010071920 
   2   32     0.0124856400 
   2   33     0.0042698400 
   2   34     0.0088055060 
   2   35     0.0010070000 
   2   36     0.0077929400 
   2   37    -0.0013513950 
   2   38    -0.0012211500 
   2   39     0.0161638600 
   2   40     0.0011615120 
   3    4    -0.0196873200 
   3    5    -0.1164361000 
   3    6     0.0023468840 
   3    7    -0.0050121030 
   3    8    -0.0023167680 
   3    9    -0.0147175900 
   3   10    -0.0090749220 
   3   11     0.0106897600 
   3   12    -0.0077379490 
   3   13     0.0075084220 
   3   14    -0.0022612180 
   3   15    -0.0162845500 
   3   16     0.0259001100 
   3   17     0.0148183900 
   3   18    -0.0418689100 
   3   19    -0.0095497990 
   3   20     0.0245762300 
   3   21    -0.0176352300 
   3   22     0.0073370710 
   3   23     0.0045023290 
   3   24     0.0120916200 
   3   25    -0.0013927170 
   3   26    -0.0170560800 
   3   27     0.0052252600 
   3   28    -0.0164535000 
   3   29     0.0010028860 
   3   30     0.0078264250 
   3   31    -0.0090675040 
   3   32     0.0068471170 
   3   33    -0.0002862179 
   3   34    -0.0139343200 
   3   35     0.0056166990 
   3   36    -0.0077510170 
