
  STATE     Energy(eV)    Strength             Q 1           Q 2
     0(GR)     --           --            -0.014956       0.014956
     1       1.0331     0.0027801767      -0.998697       0.998690
     2       1.0875     0.0011733056      -1.003432       1.003433
     3       1.2043     0.0015991159      -1.005842       1.005842
     4       1.6826     0.9428605668      -0.063010       0.063009
     5       1.7906     0.0331258618      -0.965230       0.965232
     6       1.8521     0.0121822523      -0.788115       0.788114
     7       1.8772     0.0036798699      -0.347324       0.347319
     8       1.9014     0.0028854656      -0.744759       0.744761
     9       1.9408     0.0117191085      -0.081322       0.081313
    10       1.9611     0.0011409933      -0.108667       0.108667
    11       1.9743     0.0010954131      -0.119349       0.119352
    12       2.0014     0.0035206511      -0.384714       0.384717
    13       2.0155     0.0041253964      -0.603934       0.603929
    14       2.0253     0.0032243653      -0.174316       0.174318
    15       2.0324     0.0187238133      -0.779591       0.779597
    16       2.0531     0.0017845730      -0.970432       0.970431
    17       2.0868     0.0146338085      -0.093399       0.093406
    18       2.0996     0.0002761467      -0.956123       0.956121
    19       2.1473     0.0239506156      -0.034976       0.034979
    20       2.1753     0.0086953524      -0.543664       0.543665
    21       2.1826     0.0125919220      -0.531171       0.531172
    22       2.2183     0.0021988432      -0.759986       0.759985
    23       2.2298     0.0060345482      -0.192218       0.192215
    24       2.2457     0.0030313161      -0.052725       0.052732
    25       2.2649     0.0076908282      -0.039301       0.039301
    26       2.2889     0.0157404669      -0.049349       0.049347
    27       2.3082     0.0017274673      -0.065569       0.065570
    28       2.3306     0.0118280855      -0.038689       0.038684
    29       2.3687     0.0041707711      -0.034814       0.034817
    30       2.3727     0.0028652500      -0.029248       0.029251
    31       2.3895     0.0046475383      -0.023268       0.023261
    32       2.4151     0.0020467593      -0.052493       0.052487
    33       2.4317     0.0013325606      -0.181300       0.181302
    34       2.4487     0.0070461022      -0.160912       0.160912
    35       2.4633     0.0037007894      -0.167944       0.167941
    36       2.4894     0.0019603119      -0.637383       0.637380
    37       2.5003     0.0170429631      -0.055551       0.055553
    38       2.5146     0.0402713182      -0.042705       0.042701
    39       2.5353     0.0018326095      -0.778618       0.778625
    40       2.5479     0.0034794390       0.755037      -0.755036
