  STATES      Coupling(eV)
   0    1    -0.0112623500 
   0    2     0.0044044280 
   0    3     0.0414973400 
   0    4    -0.7729353000 
   0    5     0.0060746010 
   0    6     0.1311741000 
   0    7    -0.0180917700 
   0    8     0.0130334700 
   0    9    -0.0176931600 
   0   10     0.1071152000 
   0   11    -0.1815121000 
   0   12    -0.2445955000 
   0   13     0.0064116330 
   0   14    -0.0324837300 
   0   15    -0.0616379400 
   0   16     0.0879376900 
   0   17     0.0478241800 
   0   18     0.1355289000 
   0   19     0.0478933800 
   0   20    -0.0081236590 
   0   21     0.0511496300 
   0   22     0.3913767000 
   0   23     0.1453378000 
   0   24    -0.1141935000 
   0   25     0.1211472000 
   0   26    -0.0858093800 
   0   27     0.0177302900 
   0   28     0.1234478000 
   0   29    -0.0552902800 
   0   30    -0.9666793000 
   0   31     0.0163080400 
   0   32    -0.1104254000 
   0   33     0.5674430000 
   0   34    -0.1183301000 
   0   35    -0.2568796000 
   0   36     0.2968149000 
   0   37     0.5282332000 
   0   38    -0.1368629000 
   0   39     0.0369072700 
   0   40    -0.0322741500 
   1    2     0.0484586000 
   1    3     0.0977919200 
   1    4    -0.0069856520 
   1    5    -0.0551217900 
   1    6    -0.0002253123 
   1    7    -0.0360978600 
   1    8     0.0613879300 
   1    9    -0.0045819460 
   1   10     0.0255946200 
   1   11    -0.0191279900 
   1   12    -0.0065177630 
   1   13     0.0163070500 
   1   14    -0.0114802000 
   1   15     0.0143286900 
   1   16    -0.0021863430 
   1   17    -0.1557737000 
   1   18    -0.0136439300 
   1   19    -0.0325701000 
   1   20    -0.0004638407 
   1   21    -0.0013811840 
   1   22    -0.0028008120 
   1   23     0.0100906400 
   1   24    -0.0120462000 
   1   25     0.0041869560 
   1   26     0.0004094813 
   1   27     0.0181900600 
   1   28    -0.0054489740 
   1   29    -0.0056362710 
   1   30     0.0022246940 
   1   31    -0.0043833590 
   1   32    -0.0000832170 
   1   33    -0.0238820700 
   1   34     0.0086175660 
   1   35     0.0041218240 
   1   36     0.0036335190 
   1   37     0.0046513230 
   1   38    -0.0005233448 
   1   39    -0.0070599050 
   1   40    -0.0041170120 
   2    3     0.0194585300 
   2    4    -0.0042729170 
   2    5    -0.0019829700 
   2    6    -0.0102613400 
   2    7    -0.0066357380 
   2    8     0.0911750000 
   2    9    -0.0454178900 
   2   10     0.0016101410 
   2   11     0.0118613000 
   2   12    -0.0021704640 
   2   13     0.0048831430 
   2   14    -0.0032234520 
   2   15     0.0120046800 
   2   16     0.0300563800 
   2   17     0.0857022900 
   2   18    -0.0070685460 
   2   19     0.0235708000 
   2   20    -0.0164890200 
   2   21    -0.0233963800 
   2   22     0.0018342740 
   2   23    -0.0004776628 
   2   24    -0.0021368320 
   2   25     0.0040326440 
   2   26     0.0063964070 
   2   27    -0.0412895500 
   2   28    -0.0117433200 
   2   29     0.0188946600 
   2   30     0.0031398110 
   2   31     0.0106765700 
   2   32     0.0029382370 
   2   33    -0.0069769450 
   2   34     0.0065185650 
   2   35    -0.0102465000 
   2   36    -0.0022490870 
   2   37    -0.0068530310 
   2   38     0.0041106370 
   2   39    -0.0009641497 
   2   40     0.0030914430 
   3    4     0.0246391100 
   3    5     0.0002476061 
   3    6    -0.0052481300 
   3    7    -0.0161731000 
   3    8    -0.0575284000 
   3    9    -0.0027722190 
   3   10     0.0015990070 
   3   11    -0.0227074200 
   3   12     0.0000675149 
   3   13    -0.0259693200 
   3   14     0.0285327800 
   3   15     0.0163199300 
   3   16    -0.0093834880 
   3   17    -0.0051982970 
   3   18    -0.0114477800 
   3   19    -0.0052137290 
   3   20     0.0139640500 
   3   21    -0.0073920760 
   3   22    -0.0145959700 
   3   23     0.0047677160 
   3   24     0.0326967800 
   3   25    -0.0167607800 
   3   26     0.0107365000 
   3   27     0.0015663550 
   3   28     0.0011503410 
   3   29     0.0026659160 
   3   30    -0.0008094299 
   3   31     0.0156121900 
   3   32    -0.0181076500 
   3   33     0.0318928000 
   3   34    -0.0276713400 
   3   35    -0.0058061940 
   3   36    -0.0024157090 
   3   37    -0.0152333900 
   3   38    -0.0182671200 
   3   39    -0.0031364990 
   3   40     0.0040298740 
   4    5     0.0023246430 
   4    6     0.0167410800 
   4    7    -0.0062744510 
   4    8    -0.0071841360 
   4    9    -0.0108167100 
   4   10     0.0072287830 
   4   11     0.0000791979 
   4   12    -0.0145716000 
   4   13     0.0124891400 
   4   14    -0.0042420970 
   4   15    -0.0067129890 
   4   16     0.0081613520 
   4   17     0.0136588400 
   4   18     0.0147071800 
   4   19    -0.0023072820 
   4   20     0.0075847480 
   4   21     0.0037028940 
   4   22     0.0374789000 
   4   23     0.0197489400 
   4   24    -0.0163141400 
   4   25    -0.0231712600 
   4   26     0.0096722130 
   4   27    -0.0098267740 
   4   28     0.0239810600 
   4   29    -0.0063161220 
   4   30     0.2468998000 
   4   31     0.0027055110 
   4   32    -0.0120354300 
   4   33     0.3768463000 
   4   34    -0.0079941840 
   4   35    -0.0386078900 
   4   36     0.0367049500 
   4   37     0.1505765000 
   4   38    -0.0377328300 
   4   39     0.0054932240 
   4   40     0.0091024890 
   5    6     0.0501413700 
   5    7     0.0428815700 
   5    8    -0.0142289100 
   5    9     0.0072807890 
