          Ground-State Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.015829
      2 C                     0.017364
      3 C                    -0.034855
      4 C                    -0.001449
      5 C                     0.018204
      6 C                    -0.006422
      7 C                    -0.007616
      8 C                     0.002196
      9 C                     0.050767
     10 C                    -0.035640
     11 C                    -0.016120
     12 C                     0.038822
     13 C                    -0.017377
     14 C                     0.019758
     15 C                    -0.015728
     16 C                    -0.028618
     17 C                    -0.006382
     18 C                     0.025919
     19 C                    -0.011843
     20 C                     0.021233
     21 C                     0.001752
     22 C                    -0.041557
     23 C                    -0.008048
     24 C                    -0.047869
     25 C                    -0.052436
     26 C                     0.009996
     27 C                    -0.035498
     28 C                     0.001097
     29 C                    -0.056167
     30 C                    -0.029335
     31 C                     0.092999
     32 C                     0.002186
     33 C                     0.087022
     34 C                     0.059004
     35 C                     0.007173
     36 C                     0.076949
     37 C                     0.077288
     38 C                     0.002172
     39 C                     0.049974
     40 C                     0.065814
     41 C                    -0.014199
     42 C                    -0.029007
     43 C                    -0.064727
     44 C                    -0.023816
     45 C                    -0.036534
     46 C                     0.012789
     47 C                    -0.031133
     48 C                    -0.023052
     49 C                     0.013939
     50 C                    -0.051980
     51 C                     0.006633
     52 C                    -0.016101
     53 C                     0.010258
     54 C                     0.002845
     55 C                     0.029779
     56 C                     0.013030
     57 C                     0.006934
     58 C                    -0.014523
     59 C                    -0.026264
     60 C                    -0.004116
     61 C                    -0.005073
     62 C                     0.003132
     63 C                     0.013784
     64 C                    -0.007781
     65 C                    -0.003409
     66 C                     0.012760
     67 C                     0.012555
     68 C                    -0.004816
     69 C                    -0.001385
     70 C                    -0.019796
     71 C                    -0.190617
     72 C                    -0.191942
     73 C                    -0.214355
     74 C                     0.042938
     75 C                     0.055921
     76 C                     0.032038
     77 C                    -0.243903
     78 C                    -0.172508
     79 C                    -0.182759
     80 C                    -0.240957
     81 C                     0.071619
     82 C                    -0.030723
     83 C                    -0.015843
     84 C                    -0.177158
     85 C                    -0.194327
     86 C                    -0.168974
     87 C                    -0.187849
     88 C                    -0.185030
     89 C                    -0.038910
     90 C                     0.138402
     91 C                    -0.253980
     92 C                    -0.223595
     93 C                     0.035110
     94 C                     0.030035
     95 C                    -0.252657
     96 C                    -0.197612
     97 C                     0.054976
     98 C                    -0.098239
     99 C                     0.027373
    100 C                     0.003701
    101 C                    -0.194464
    102 C                    -0.167693
    103 C                    -0.203943
    104 C                    -0.161742
    105 C                    -0.202154
    106 C                     0.076317
    107 C                    -0.265901
    108 C                    -0.172372
    109 C                    -0.191006
    110 C                    -0.250010
    111 C                     0.094007
    112 C                    -0.043407
    113 C                     0.019148
    114 C                    -0.214244
    115 C                    -0.176051
    116 C                    -0.180175
    117 C                    -0.173119
    118 C                    -0.212784
    119 C                     0.063185
    120 C                     0.106067
    121 C                    -0.283489
    122 C                    -0.246377
    123 C                     0.034663
    124 C                     0.050602
    125 C                    -0.228263
    126 C                    -0.235998
    127 C                     0.102718
    128 C                    -0.054560
    129 C                    -0.210979
    130 C                     0.137026
    131 C                     0.064991
    132 C                    -0.122069
    133 C                    -0.227970
    134 C                    -0.164226
    135 H                     0.176551
    136 H                     0.189989
    137 H                     0.195389
    138 H                     0.192419
    139 H                     0.181725
    140 H                     0.177322
    141 H                     0.190967
    142 H                     0.193915
    143 H                     0.179974
    144 H                     0.184302
    145 H                     0.187668
    146 H                     0.188903
    147 H                     0.195433
    148 H                     0.205283
    149 H                     0.184072
    150 H                     0.197123
    151 H                     0.193160
    152 H                     0.187509
    153 H                     0.167573
    154 H                     0.196394
    155 H                     0.183305
    156 H                     0.192952
    157 H                     0.180857
    158 H                     0.181583
    159 H                     0.192876
    160 H                     0.183164
    161 H                     0.188384
    162 H                     0.175470
    163 H                     0.188166
    164 H                     0.183743
    165 H                     0.200476
    166 H                     0.181663
    167 H                     0.207085
    168 H                     0.192525
    169 H                     0.190877
    170 H                     0.195674
  ----------------------------------------
 
         RPA Excited State  1:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.044071
      2 C                    -0.003216
      3 C                    -0.040879
      4 C                    -0.037518
      5 C                     0.014075
      6 C                    -0.016742
      7 C                    -0.041669
