          Ground-State Mulliken Net Atomic Charges
      8 C                    -0.030480
      9 C                     0.049151
     10 C                    -0.050666
     11 C                    -0.043484
     12 C                     0.021276
     13 C                    -0.018892
     14 C                     0.018782
     15 C                    -0.017634
     16 C                    -0.028995
     17 C                    -0.008641
     18 C                     0.014573
     19 C                    -0.023770
     20 C                     0.016447
     21 C                    -0.008289
     22 C                    -0.043308
     23 C                    -0.017805
     24 C                    -0.098121
     25 C                    -0.052670
     26 C                     0.007304
     27 C                    -0.061518
     28 C                    -0.000715
     29 C                    -0.104847
     30 C                    -0.053993
     31 C                     0.092036
     32 C                     0.001604
     33 C                     0.084187
     34 C                     0.058733
     35 C                     0.006462
     36 C                     0.076586
     37 C                     0.075216
     38 C                     0.002136
     39 C                     0.047646
     40 C                     0.065573
     41 C                    -0.036366
     42 C                    -0.079694
     43 C                    -0.117102
     44 C                    -0.031634
     45 C                    -0.039667
     46 C                     0.000151
     47 C                    -0.033760
     48 C                    -0.047964
     49 C                     0.010667
     50 C                    -0.052234
     51 C                     0.003784
     52 C                    -0.019306
     53 C                     0.001023
     54 C                    -0.006045
     55 C                    -0.016695
     56 C                    -0.023714
     57 C                    -0.013265
     58 C                    -0.045989
     59 C                    -0.026366
     60 C                    -0.006711
     61 C                    -0.009497
     62 C                    -0.023043
     63 C                     0.012749
     64 C                    -0.033807
     65 C                    -0.017619
     66 C                    -0.025819
     67 C                    -0.014900
     68 C                    -0.015202
     69 C                    -0.006838
     70 C                    -0.067627
     71 C                    -0.180915
     72 C                    -0.190863
     73 C                    -0.207496
     74 C                     0.048046
     75 C                     0.111512
     76 C                     0.040411
     77 C                    -0.222675
     78 C                    -0.157823
     79 C                    -0.166804
     80 C                    -0.219626
     81 C                     0.079162
     82 C                     0.026013
     83 C                    -0.014427
     84 C                    -0.174181
     85 C                    -0.193513
     86 C                    -0.167310
     87 C                    -0.187421
     88 C                    -0.181427
     89 C                    -0.038003
     90 C                     0.192909
     91 C                    -0.243166
     92 C                    -0.184225
     93 C                     0.060330
     94 C                     0.059592
     95 C                    -0.215206
     96 C                    -0.185205
     97 C                     0.106170
     98 C                    -0.096050
     99 C                     0.079497
    100 C                     0.008069
    101 C                    -0.188556
    102 C                    -0.167222
    103 C                    -0.197447
    104 C                    -0.160518
    105 C                    -0.196162
    106 C                     0.083043
    107 C                    -0.247388
    108 C                    -0.156118
    109 C                    -0.177751
    110 C                    -0.225570
    111 C                     0.099248
    112 C                     0.006392
    113 C                     0.022127
    114 C                    -0.209132
    115 C                    -0.175364
    116 C                    -0.176127
    117 C                    -0.172924
    118 C                    -0.207687
    119 C                     0.064328
    120 C                     0.153999
    121 C                    -0.273082
    122 C                    -0.203831
    123 C                     0.058651
    124 C                     0.079541
    125 C                    -0.192837
    126 C                    -0.223705
    127 C                     0.153723
    128 C                    -0.052046
    129 C                    -0.209927
    130 C                     0.137618
    131 C                     0.065498
    132 C                    -0.120877
    133 C                    -0.219367
    134 C                    -0.163839
    135 H                     0.176498
    136 H                     0.190104
    137 H                     0.195392
    138 H                     0.192691
    139 H                     0.181755
    140 H                     0.177338
    141 H                     0.191021
    142 H                     0.193992
    143 H                     0.180127
    144 H                     0.184303
    145 H                     0.187879
    146 H                     0.188992
    147 H                     0.195463
    148 H                     0.205284
    149 H                     0.184100
    150 H                     0.197156
    151 H                     0.193242
    152 H                     0.187723
    153 H                     0.167576
    154 H                     0.196526
    155 H                     0.183521
    156 H                     0.193000
    157 H                     0.181046
    158 H                     0.181597
    159 H                     0.192958
    160 H                     0.183198
    161 H                     0.188512
    162 H                     0.175219
    163 H                     0.188312
    164 H                     0.183808
    165 H                     0.200259
    166 H                     0.181646
    167 H                     0.207055
    168 H                     0.192527
    169 H                     0.190901
    170 H                     0.195841
  ----------------------------------------
 
         RPA Excited State  2:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.029807
      2 C                    -0.014117
      3 C                    -0.074206
      4 C                    -0.005705
      5 C                    -0.024114
      6 C                    -0.023066
      7 C                    -0.008786
      8 C                    -0.001218
      9 C                     0.034405
     10 C                    -0.055474
     11 C                    -0.022388
     12 C                     0.036353
     13 C                    -0.019013
     14 C                     0.014960
     15 C                    -0.039115
     16 C                    -0.046063
     17 C                    -0.012891
     18 C                     0.022623
     19 C                    -0.039711
     20 C                    -0.008880
     21 C                    -0.032074
     22 C                    -0.058299
     23 C                    -0.046249
     24 C                    -0.050613
     25 C                    -0.059154
     26 C                    -0.003838
     27 C                    -0.047991
     28 C                    -0.005013
     29 C                    -0.060973
     30 C                    -0.044016
     31 C                     0.091852
     32 C                     0.001799
     33 C                     0.087166
     34 C                     0.059697
     35 C                     0.007474
     36 C                     0.076076
     37 C                     0.076506
     38 C                     0.002046
     39 C                     0.049603
     40 C                     0.065568
     41 C                    -0.030345
     42 C                    -0.034634
     43 C                    -0.068251
     44 C                    -0.059161
     45 C                    -0.052754
     46 C                    -0.023351
     47 C                    -0.039959
     48 C                    -0.034041
     49 C                    -0.006144
     50 C                    -0.060932
     51 C                    -0.007887
     52 C                    -0.024398
     53 C                    -0.012602
     54 C                    -0.030945
     55 C                     0.027989
     56 C                     0.006546
     57 C                    -0.005448
     58 C                    -0.024318
     59 C                    -0.040473
     60 C                    -0.009384
     61 C                    -0.033756
     62 C                     0.002666
     63 C                    -0.019120
     64 C                    -0.012973
     65 C                    -0.019167
     66 C                    -0.003055
     67 C                    -0.024098
     68 C                    -0.052390
     69 C                    -0.053438
     70 C                    -0.023672
     71 C                    -0.180439
     72 C                    -0.190858
     73 C                    -0.207244
     74 C                     0.048317
     75 C                     0.113017
     76 C                     0.040539
     77 C                    -0.222104
     78 C                    -0.157519
     79 C                    -0.166433
     80 C                    -0.219171
     81 C                     0.079324
     82 C                     0.027154
     83 C                    -0.014396
     84 C                    -0.174119
     85 C                    -0.193500
     86 C                    -0.167280
     87 C                    -0.187413
     88 C                    -0.181356
     89 C                    -0.037995
     90 C                     0.192849
     91 C                    -0.242836
     92 C                    -0.184601
     93 C                     0.060686
     94 C                     0.058823
     95 C                    -0.215126
     96 C                    -0.185699
     97 C                     0.105764
     98 C                    -0.096298
     99 C                     0.077601
    100 C                     0.007878
    101 C                    -0.188791
    102 C                    -0.167238
    103 C                    -0.197716
    104 C                    -0.160559
    105 C                    -0.196397
    106 C                     0.082974
    107 C                    -0.248241
    108 C                    -0.156627
    109 C                    -0.178325
    110 C                    -0.226585
    111 C                     0.099118
    112 C                     0.004834
    113 C                     0.022038
    114 C                    -0.209353
    115 C                    -0.175315
    116 C                    -0.176268
    117 C                    -0.172848
    118 C                    -0.207899
    119 C                     0.064273
    120 C                     0.153970
    121 C                    -0.273542
    122 C                    -0.203527
    123 C                     0.058339
    124 C                     0.080554
    125 C                    -0.192732
    126 C                    -0.223192
    127 C                     0.154455
    128 C                    -0.051829
    129 C                    -0.209880
    130 C                     0.137622
    131 C                     0.065442
    132 C                    -0.120895
    133 C                    -0.219011
    134 C                    -0.163865
    135 H                     0.176421
    136 H                     0.190109
    137 H                     0.195391
    138 H                     0.192699
    139 H                     0.181756
    140 H                     0.177339
    141 H                     0.191023
    142 H                     0.193994
    143 H                     0.180130
    144 H                     0.184303
    145 H                     0.187883
    146 H                     0.188994
    147 H                     0.195463
    148 H                     0.205283
    149 H                     0.184097
    150 H                     0.197155
    151 H                     0.193242
    152 H                     0.187715
    153 H                     0.167576
    154 H                     0.196522
    155 H                     0.183513
    156 H                     0.192998
    157 H                     0.181039
    158 H                     0.181596
    159 H                     0.192955
    160 H                     0.183198
    161 H                     0.188510
    162 H                     0.175405
    163 H                     0.188325
    164 H                     0.183809
    165 H                     0.200500
    166 H                     0.180435
    167 H                     0.206894
    168 H                     0.192581
    169 H                     0.190900
    170 H                     0.195840
  ----------------------------------------
 
         RPA Excited State  3:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.035062
      2 C                     0.014542
      3 C                    -0.043874
      4 C                    -0.010845
      5 C                     0.017599
      6 C                    -0.008325
      7 C                    -0.012178
      8 C                    -0.000494
      9 C                     0.047902
     10 C                    -0.055939
     11 C                    -0.027320
     12 C                     0.032261
     13 C                    -0.046051
     14 C                    -0.006868
     15 C                    -0.017732
     16 C                    -0.060103
     17 C                    -0.051896
     18 C                     0.017196
     19 C                    -0.018987
     20 C                     0.010713
     21 C                    -0.005165
     22 C                    -0.086251
     23 C                    -0.018466
     24 C                    -0.051438
     25 C                    -0.099643
     26 C                    -0.018261
     27 C                    -0.054405
     28 C                    -0.041083
     29 C                    -0.059513
     30 C                    -0.041298
     31 C                     0.092033
     32 C                     0.001546
     33 C                     0.086893
     34 C                     0.057056
     35 C                     0.006369
     36 C                     0.074798
     37 C                     0.076519
     38 C                    -0.001032
     39 C                     0.049638
     40 C                     0.062843
     41 C                    -0.031311
     42 C                    -0.029783
     43 C                    -0.068522
     44 C                    -0.030363
     45 C                    -0.081908
     46 C                     0.005332
     47 C                    -0.085372
     48 C                    -0.032123
     49 C                    -0.024558
     50 C                    -0.086711
     51 C                    -0.025224
     52 C                    -0.048002
     53 C                     0.003051
     54 C                    -0.004139
     55 C                     0.027608
     56 C                     0.011042
     57 C                    -0.008301
     58 C                    -0.026368
     59 C                    -0.068471
     60 C                    -0.057641
     61 C                    -0.014599
     62 C                    -0.007913
     63 C                     0.011861
     64 C                    -0.023619
     65 C                    -0.005176
     66 C                    -0.005199
     67 C                     0.008332
     68 C                    -0.015469
     69 C                    -0.002580
     70 C                    -0.038604
     71 C                    -0.180313
     72 C                    -0.190826
     73 C                    -0.207238
     74 C                     0.048387
     75 C                     0.113068
     76 C                     0.040546
     77 C                    -0.222054
     78 C                    -0.157479
     79 C                    -0.166424
     80 C                    -0.219123
     81 C                     0.079312
     82 C                     0.027216
     83 C                    -0.014394
     84 C                    -0.174114
     85 C                    -0.193500
     86 C                    -0.167279
     87 C                    -0.187413
     88 C                    -0.181355
     89 C                    -0.037982
     90 C                     0.192680
     91 C                    -0.242843
     92 C                    -0.184702
     93 C                     0.060589
     94 C                     0.058784
     95 C                    -0.215222
     96 C                    -0.185677
     97 C                     0.105608
     98 C                    -0.096222
     99 C                     0.077988
    100 C                     0.007909
    101 C                    -0.188756
    102 C                    -0.167236
    103 C                    -0.197665
    104 C                    -0.160559
    105 C                    -0.196342
    106 C                     0.082966
    107 C                    -0.248035
    108 C                    -0.156526
    109 C                    -0.178176
    110 C                    -0.226328
    111 C                     0.099146
    112 C                     0.005149
    113 C                     0.022121
    114 C                    -0.209313
    115 C                    -0.175276
    116 C                    -0.176188
    117 C                    -0.172859
    118 C                    -0.207830
    119 C                     0.064314
    120 C                     0.153801
    121 C                    -0.273428
    122 C                    -0.203398
    123 C                     0.058241
    124 C                     0.080482
    125 C                    -0.192915
    126 C                    -0.223148
    127 C                     0.154284
    128 C                    -0.051763
    129 C                    -0.209876
    130 C                     0.137623
    131 C                     0.065476
    132 C                    -0.120895
    133 C                    -0.218951
    134 C                    -0.163827
    135 H                     0.176514
    136 H                     0.190110
    137 H                     0.195392
    138 H                     0.192700
    139 H                     0.181757
    140 H                     0.177339
    141 H                     0.191022
    142 H                     0.193994
    143 H                     0.180131
    144 H                     0.184303
    145 H                     0.187883
    146 H                     0.188994
    147 H                     0.195463
    148 H                     0.205284
    149 H                     0.184099
    150 H                     0.197155
    151 H                     0.193242
    152 H                     0.187716
    153 H                     0.167576
    154 H                     0.196523
    155 H                     0.183515
    156 H                     0.192999
    157 H                     0.181040
    158 H                     0.181596
    159 H                     0.192956
    160 H                     0.183198
    161 H                     0.188512
    162 H                     0.175433
    163 H                     0.188243
    164 H                     0.183810
    165 H                     0.200435
    166 H                     0.181646
    167 H                     0.207043
    168 H                     0.192434
    169 H                     0.190902
    170 H                     0.195856
  ----------------------------------------
 
         RPA Excited State  4:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.016013
      2 C                     0.017283
      3 C                    -0.034949
      4 C                    -0.001537
      5 C                     0.017934
      6 C                    -0.006433
      7 C                    -0.007674
      8 C                     0.002184
      9 C                     0.050765
     10 C                    -0.035686
     11 C                    -0.016168
     12 C                     0.038699
     13 C                    -0.017390
     14 C                     0.019737
     15 C                    -0.016138
     16 C                    -0.028722
     17 C                    -0.006476
     18 C                     0.025726
     19 C                    -0.012077
     20 C                     0.021029
     21 C                     0.001375
     22 C                    -0.041625
     23 C                    -0.008075
     24 C                    -0.048023
     25 C                    -0.052618
     26 C                     0.009705
     27 C                    -0.035650
     28 C                     0.001084
     29 C                    -0.056171
     30 C                    -0.029350
     31 C                     0.092958
     32 C                     0.002129
     33 C                     0.086731
     34 C                     0.058956
     35 C                     0.006786
     36 C                     0.076708
     37 C                     0.077002
     38 C                     0.001962
     39 C                     0.049764
     40 C                     0.065764
     41 C                    -0.014253
     42 C                    -0.029140
     43 C                    -0.064754
     44 C                    -0.023978
     45 C                    -0.036728
     46 C                     0.012757
     47 C                    -0.031193
     48 C                    -0.023156
     49 C                     0.013870
     50 C                    -0.052057
     51 C                     0.006481
     52 C                    -0.016122
     53 C                     0.010258
     54 C                     0.002815
     55 C                     0.029755
     56 C                     0.012978
     57 C                     0.006901
     58 C                    -0.014586
     59 C                    -0.026261
     60 C                    -0.004139
     61 C                    -0.005109
     62 C                     0.002992
     63 C                     0.013656
     64 C                    -0.007977
     65 C                    -0.003469
     66 C                     0.012682
     67 C                     0.012505
     68 C                    -0.004848
     69 C                    -0.001479
     70 C                    -0.019874
     71 C                    -0.183691
     72 C                    -0.191074
     73 C                    -0.209807
     74 C                     0.048053
     75 C                     0.092996
     76 C                     0.029505
     77 C                    -0.226850
     78 C                    -0.163165
     79 C                    -0.176976
     80 C                    -0.220143
     81 C                     0.065979
     82 C                     0.019369
     83 C                    -0.014165
     84 C                    -0.174590
     85 C                    -0.193583
     86 C                    -0.167245
     87 C                    -0.187588
     88 C                    -0.181236
     89 C                    -0.055349
     90 C                     0.124971
     91 C                    -0.272523
     92 C                    -0.237136
     93 C                     0.011101
     94 C                     0.023370
     95 C                    -0.267893
     96 C                    -0.204490
     97 C                     0.043587
     98 C                    -0.109336
     99 C                     0.069688
    100 C                     0.008779
    101 C                    -0.188767
    102 C                    -0.167568
    103 C                    -0.198538
    104 C                    -0.160356
    105 C                    -0.197815
    106 C                     0.072757
    107 C                    -0.248231
    108 C                    -0.165674
    109 C                    -0.183651
    110 C                    -0.230142
    111 C                     0.089532
    112 C                    -0.007845
    113 C                     0.021788
    114 C                    -0.210474
    115 C                    -0.175438
    116 C                    -0.177088
    117 C                    -0.172850
    118 C                    -0.208625
    119 C                     0.046636
    120 C                     0.090373
    121 C                    -0.295733
    122 C                    -0.266375
    123 C                     0.019074
    124 C                     0.025770
    125 C                    -0.252105
    126 C                    -0.249583
    127 C                     0.080897
    128 C                    -0.070139
    129 C                    -0.211386
    130 C                     0.136300
    131 C                     0.064493
    132 C                    -0.121806
    133 C                    -0.221458
    134 C                    -0.163852
    135 H                     0.176531
    136 H                     0.190080
    137 H                     0.195374
    138 H                     0.192541
    139 H                     0.181716
    140 H                     0.177303
    141 H                     0.190982
    142 H                     0.193958
    143 H                     0.180116
    144 H                     0.184295
    145 H                     0.187861
    146 H                     0.189009
    147 H                     0.195271
    148 H                     0.205085
    149 H                     0.184093
    150 H                     0.197168
    151 H                     0.193043
    152 H                     0.187672
    153 H                     0.167527
    154 H                     0.196497
    155 H                     0.183470
    156 H                     0.192973
    157 H                     0.180943
    158 H                     0.181566
    159 H                     0.192926
    160 H                     0.183193
    161 H                     0.188469
    162 H                     0.175455
    163 H                     0.188294
    164 H                     0.183795
    165 H                     0.200437
    166 H                     0.181400
    167 H                     0.207076
    168 H                     0.192535
    169 H                     0.190853
    170 H                     0.195781
  ----------------------------------------
 
         RPA Excited State  5:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.041871
      2 C                    -0.001672
      3 C                    -0.041035
      4 C                    -0.034402
      5 C                     0.024681
      6 C                    -0.012437
      7 C                    -0.039789
      8 C                    -0.025304
      9 C                     0.051147
     10 C                    -0.047157
     11 C                    -0.038055
     12 C                     0.025136
     13 C                     0.002200
     14 C                     0.024258
     15 C                    -0.016624
     16 C                    -0.023462
     17 C                     0.014541
     18 C                     0.016876
     19 C                    -0.017388
     20 C                     0.017828
     21 C                    -0.008152
     22 C                    -0.023073
     23 C                    -0.017898
     24 C                    -0.097286
     25 C                    -0.032097
     26 C                     0.030878
     27 C                    -0.062091
     28 C                     0.026725
     29 C                    -0.097779
     30 C                    -0.052744
     31 C                     0.092206
     32 C                     0.001478
     33 C                     0.084171
     34 C                     0.059609
     35 C                     0.006578
     36 C                     0.076734
     37 C                     0.075122
     38 C                     0.002873
     39 C                     0.048022
     40 C                     0.066838
     41 C                    -0.035453
     42 C                    -0.075176
     43 C                    -0.112231
     44 C                    -0.031117
     45 C                    -0.013840
     46 C                     0.000606
     47 C                    -0.010055
     48 C                    -0.046159
     49 C                     0.031783
     50 C                    -0.030178
     51 C                     0.008970
     52 C                     0.001283
     53 C                     0.005883
     54 C                    -0.002571
     55 C                    -0.009559
     56 C                    -0.016628
     57 C                    -0.009318
     58 C                    -0.039571
     59 C                    -0.019234
     60 C                     0.017093
     61 C                    -0.005802
     62 C                    -0.017572
     63 C                     0.014146
     64 C                    -0.027892
     65 C                    -0.012945
     66 C                    -0.019919
     67 C                    -0.011932
     68 C                    -0.013831
     69 C                     0.003913
     70 C                    -0.061705
     71 C                    -0.178035
     72 C                    -0.190184
     73 C                    -0.207352
     74 C                     0.051723
     75 C                     0.092107
     76 C                     0.032725
     77 C                    -0.222140
     78 C                    -0.165560
     79 C                    -0.168533
     80 C                    -0.223066
     81 C                     0.074666
     82 C                    -0.003470
     83 C                    -0.014429
     84 C                    -0.175280
     85 C                    -0.193977
     86 C                    -0.167676
     87 C                    -0.187473
     88 C                    -0.182817
     89 C                    -0.035099
     90 C                     0.138956
     91 C                    -0.245828
     92 C                    -0.220470
     93 C                     0.039051
     94 C                     0.044717
     95 C                    -0.252046
     96 C                    -0.183710
     97 C                     0.057714
     98 C                    -0.073927
     99 C                     0.067222
    100 C                     0.010297
    101 C                    -0.188208
    102 C                    -0.166607
    103 C                    -0.195835
    104 C                    -0.160700
    105 C                    -0.195763
    106 C                     0.077095
    107 C                    -0.242619
    108 C                    -0.163050
    109 C                    -0.176971
    110 C                    -0.226071
    111 C                     0.095740
    112 C                    -0.016079
    113 C                     0.023709
    114 C                    -0.209445
    115 C                    -0.175465
    116 C                    -0.175077
    117 C                    -0.172557
    118 C                    -0.208466
    119 C                     0.070332
    120 C                     0.106515
    121 C                    -0.272715
    122 C                    -0.241977
    123 C                     0.038752
    124 C                     0.067607
    125 C                    -0.227363
    126 C                    -0.218141
    127 C                     0.105856
    128 C                    -0.027675
    129 C                    -0.208480
    130 C                     0.138339
    131 C                     0.065567
    132 C                    -0.120364
    133 C                    -0.219905
    134 C                    -0.162923
    135 H                     0.176511
    136 H                     0.190074
    137 H                     0.195401
    138 H                     0.192592
    139 H                     0.181775
    140 H                     0.177337
    141 H                     0.190996
    142 H                     0.193963
    143 H                     0.180068
    144 H                     0.184305
    145 H                     0.187803
    146 H                     0.188978
    147 H                     0.195438
    148 H                     0.205289
    149 H                     0.184111
    150 H                     0.197141
    151 H                     0.193173
    152 H                     0.187684
    153 H                     0.167581
    154 H                     0.196487
    155 H                     0.183529
    156 H                     0.193025
    157 H                     0.181027
    158 H                     0.181612
    159 H                     0.192961
    160 H                     0.183209
    161 H                     0.188458
    162 H                     0.175245
    163 H                     0.188233
    164 H                     0.183776
    165 H                     0.200260
    166 H                     0.181837
    167 H                     0.207084
    168 H                     0.192590
    169 H                     0.190909
    170 H                     0.195799
  ----------------------------------------
 
         RPA Excited State  6:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.041660
      2 C                    -0.001368
      3 C                    -0.041220
      4 C                    -0.033802
      5 C                     0.027035
      6 C                    -0.011595
      7 C                    -0.038912
      8 C                    -0.025735
      9 C                     0.051740
     10 C                    -0.047352
     11 C                    -0.037251
     12 C                     0.025853
     13 C                     0.004823
     14 C                     0.024664
     15 C                    -0.016209
     16 C                    -0.021187
     17 C                     0.022165
     18 C                     0.017212
     19 C                    -0.015513
     20 C                     0.018684
     21 C                    -0.008267
     22 C                    -0.015601
     23 C                    -0.017523
     24 C                    -0.096238
     25 C                    -0.025605
     26 C                     0.034633
     27 C                    -0.061667
     28 C                     0.028208
     29 C                    -0.098798
     30 C                    -0.052457
     31 C                     0.092169
     32 C                     0.001559
     33 C                     0.083997
     34 C                     0.059763
     35 C                     0.006397
     36 C                     0.076932
     37 C                     0.074903
     38 C                     0.003088
     39 C                     0.047898
     40 C                     0.066868
     41 C                    -0.034183
     42 C                    -0.075419
     43 C                    -0.111262
     44 C                    -0.031377
     45 C                    -0.008631
     46 C                     0.001001
     47 C                    -0.006970
     48 C                    -0.046296
     49 C                     0.039687
     50 C                    -0.026905
     51 C                     0.009424
     52 C                     0.000481
     53 C                     0.004778
     54 C                    -0.001328
     55 C                    -0.006866
     56 C                    -0.016044
     57 C                    -0.007543
     58 C                    -0.036031
     59 C                    -0.017623
     60 C                     0.020740
     61 C                    -0.002685
     62 C                    -0.018344
     63 C                     0.015534
     64 C                    -0.027257
     65 C                    -0.013005
     66 C                    -0.020029
     67 C                    -0.011282
     68 C                    -0.013729
     69 C                     0.004580
     70 C                    -0.059658
     71 C                    -0.181244
     72 C                    -0.190502
     73 C                    -0.209579
     74 C                     0.049883
     75 C                     0.087068
     76 C                     0.032600
     77 C                    -0.225186
     78 C                    -0.166673
     79 C                    -0.170438
     80 C                    -0.225636
     81 C                     0.074276
     82 C                    -0.007458
     83 C                    -0.014631
     84 C                    -0.175559
     85 C                    -0.194024
     86 C                    -0.167863
     87 C                    -0.187531
     88 C                    -0.183140
     89 C                    -0.035686
     90 C                     0.139026
     91 C                    -0.246819
     92 C                    -0.220826
     93 C                     0.038658
     94 C                     0.042670
     95 C                    -0.251923
     96 C                    -0.185197
     97 C                     0.057338
     98 C                    -0.077739
     99 C                     0.060314
    100 C                     0.009202
    101 C                    -0.189270
    102 C                    -0.166809
    103 C                    -0.197252
    104 C                    -0.160855
    105 C                    -0.196906
    106 C                     0.076968
    107 C                    -0.246589
    108 C                    -0.164703
    109 C                    -0.179383
    110 C                    -0.230195
    111 C                     0.095469
