          Ground-State Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.018406
      2 C                     0.054522
      3 C                    -0.025923
      4 C                    -0.010206
      5 C                     0.017787
      6 C                    -0.005331
      7 C                     0.011695
      8 C                    -0.024430
      9 C                     0.025088
     10 C                    -0.016154
     11 C                    -0.017349
     12 C                    -0.015235
     13 C                     0.014199
     14 C                     0.018538
     15 C                     0.050784
     16 C                    -0.009581
     17 C                    -0.060544
     18 C                     0.026204
     19 C                    -0.005417
     20 C                    -0.056439
     21 C                    -0.005157
     22 C                    -0.051464
     23 C                    -0.034030
     24 C                     0.017676
     25 C                    -0.048928
     26 C                     0.010422
     27 C                    -0.013215
     28 C                    -0.037924
     29 C                    -0.015605
     30 C                    -0.006574
     31 C                    -0.008739
     32 C                     0.107427
     33 C                     0.001628
     34 C                     0.121221
     35 C                     0.012086
     36 C                     0.100333
     37 C                     0.066854
     38 C                     0.013119
     39 C                     0.063264
     40 C                     0.027049
     41 C                     0.013334
     42 C                    -0.035523
     43 C                    -0.026600
     44 C                    -0.040341
     45 C                    -0.072652
     46 C                    -0.006537
     47 C                    -0.024125
     48 C                    -0.041505
     49 C                    -0.022469
     50 C                    -0.058234
     51 C                     0.022537
     52 C                    -0.008830
     53 C                     0.033274
     54 C                     0.043924
     55 C                    -0.016334
     56 C                    -0.018340
     57 C                    -0.008692
     58 C                     0.008833
     59 C                     0.013908
     60 C                     0.039213
     61 C                    -0.001381
     62 C                    -0.019267
     63 C                    -0.030552
     64 C                    -0.008208
     65 C                    -0.018337
     66 C                     0.001023
     67 C                    -0.010477
     68 C                     0.001386
     69 C                     0.008089
     70 C                    -0.005318
     71 C                    -0.165459
     72 C                    -0.198097
     73 C                    -0.177542
     74 C                     0.004293
     75 C                    -0.054189
     76 C                     0.080027
     77 C                    -0.236735
     78 C                    -0.198159
     79 C                    -0.159422
     80 C                    -0.276947
     81 C                     0.031169
     82 C                     0.093874
     83 C                    -0.018149
     84 C                    -0.173552
     85 C                    -0.190014
     86 C                    -0.157131
     87 C                    -0.185215
     88 C                    -0.198481
     89 C                    -0.119758
     90 C                     0.109026
     91 C                    -0.222538
     92 C                    -0.239215
     93 C                     0.052060
     94 C                     0.028949
     95 C                    -0.237474
     96 C                    -0.220678
     97 C                     0.078796
     98 C                    -0.072219
     99 C                     0.071281
    100 C                    -0.009357
    101 C                    -0.191521
    102 C                    -0.200709
    103 C                    -0.173067
    104 C                    -0.185882
    105 C                    -0.184235
    106 C                     0.036629
    107 C                    -0.274939
    108 C                    -0.195266
    109 C                    -0.186325
    110 C                    -0.234239
    111 C                     0.112176
    112 C                    -0.062477
    113 C                    -0.005118
    114 C                    -0.188049
    115 C                    -0.179971
    116 C                    -0.182482
    117 C                    -0.174372
    118 C                    -0.221406
    119 C                     0.027441
    120 C                     0.141197
    121 C                    -0.245541
    122 C                    -0.255437
