          Ground-State Mulliken Net Atomic Charges
    123 C                     0.019900
    124 C                     0.081435
    125 C                    -0.247285
    126 C                    -0.218474
    127 C                     0.124742
    128 C                    -0.010728
    129 C                    -0.126479
    130 C                    -0.010472
    131 C                     0.107261
    132 C                    -0.168267
    133 C                    -0.171291
    134 C                    -0.204915
    135 H                     0.190253
    136 H                     0.182174
    137 H                     0.193963
    138 H                     0.200185
    139 H                     0.170948
    140 H                     0.185366
    141 H                     0.181916
    142 H                     0.193736
    143 H                     0.178794
    144 H                     0.184221
    145 H                     0.179117
    146 H                     0.195510
    147 H                     0.204062
    148 H                     0.188600
    149 H                     0.188875
    150 H                     0.204288
    151 H                     0.193022
    152 H                     0.184645
    153 H                     0.189881
    154 H                     0.182910
    155 H                     0.192080
    156 H                     0.196962
    157 H                     0.174108
    158 H                     0.190172
    159 H                     0.192797
    160 H                     0.189305
    161 H                     0.193703
    162 H                     0.180108
    163 H                     0.187300
    164 H                     0.194968
    165 H                     0.197072
    166 H                     0.193647
    167 H                     0.183666
    168 H                     0.214234
    169 H                     0.190152
    170 H                     0.181238
  ----------------------------------------
 
         RPA Excited State  1:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.043257
      2 C                     0.052868
      3 C                    -0.053880
      4 C                    -0.018768
      5 C                     0.007825
      6 C                    -0.005572
      7 C                     0.010069
      8 C                    -0.025775
      9 C                     0.013092
     10 C                    -0.040477
     11 C                    -0.035431
     12 C                    -0.022576
     13 C                    -0.030823
     14 C                    -0.020290
     15 C                     0.043993
     16 C                    -0.019749
     17 C                    -0.083119
     18 C                     0.014746
     19 C                    -0.006821
     20 C                    -0.058345
     21 C                    -0.005410
     22 C                    -0.074768
     23 C                    -0.034462
     24 C                     0.017151
     25 C                    -0.108072
     26 C                    -0.013710
     27 C                    -0.031226
     28 C                    -0.089949
     29 C                    -0.016882
     30 C                    -0.028821
     31 C                    -0.009483
     32 C                     0.107405
     33 C                     0.001499
     34 C                     0.118669
     35 C                     0.011621
     36 C                     0.096577
     37 C                     0.066453
     38 C                     0.012244
     39 C                     0.063137
     40 C                     0.025586
     41 C                    -0.006121
     42 C                    -0.036487
     43 C                    -0.026650
     44 C                    -0.041271
     45 C                    -0.099913
     46 C                    -0.007454
     47 C                    -0.072735
     48 C                    -0.061630
     49 C                    -0.045286
     50 C                    -0.124008
     51 C                     0.009076
     52 C                    -0.041617
     53 C                     0.031407
     54 C                     0.043083
     55 C                    -0.016807
     56 C                    -0.019279
     57 C                    -0.033043
     58 C                    -0.005057
     59 C                    -0.020475
     60 C                    -0.001048
     61 C                    -0.013176
     62 C                    -0.023677
     63 C                    -0.038122
     64 C                    -0.024892
     65 C                    -0.018903
     66 C                    -0.033232
     67 C                    -0.012570
     68 C                    -0.023205
     69 C                    -0.002484
     70 C                    -0.018390
     71 C                    -0.161802
     72 C                    -0.197631
     73 C                    -0.172970
     74 C                     0.006491
     75 C                    -0.005552
     76 C                     0.086539
     77 C                    -0.213191
     78 C                    -0.183990
     79 C                    -0.144965
     80 C                    -0.255561
     81 C                     0.036918
     82 C                     0.143422
     83 C                    -0.014277
     84 C                    -0.166951
     85 C                    -0.189175
     86 C                    -0.149941
     87 C                    -0.184962
     88 C                    -0.191020
     89 C                    -0.118153
     90 C                     0.161279
     91 C                    -0.211858
     92 C                    -0.197852
     93 C                     0.082426
     94 C                     0.056150
     95 C                    -0.197103
     96 C                    -0.209511
     97 C                     0.129113
     98 C                    -0.070885
     99 C                     0.123206
    100 C                    -0.006259
    101 C                    -0.186662
    102 C                    -0.199198
    103 C                    -0.166867
    104 C                    -0.185234
    105 C                    -0.177188
    106 C                     0.044640
    107 C                    -0.255240
    108 C                    -0.177342
    109 C                    -0.174747
    110 C                    -0.213954
    111 C                     0.116644
    112 C                    -0.015058
    113 C                    -0.003327
    114 C                    -0.185664
    115 C                    -0.179537
    116 C                    -0.180796
    117 C                    -0.174066
    118 C                    -0.219193
    119 C                     0.029289
    120 C                     0.190785
    121 C                    -0.236599
    122 C                    -0.204873
    123 C                     0.044524
    124 C                     0.112615
    125 C                    -0.200489
    126 C                    -0.208119
    127 C                     0.175028
    128 C                    -0.009346
    129 C                    -0.125611
    130 C                    -0.009694
    131 C                     0.107892
    132 C                    -0.167463
    133 C                    -0.168736
    134 C                    -0.204261
    135 H                     0.190254
    136 H                     0.182314
    137 H                     0.193989
    138 H                     0.200305
    139 H                     0.170961
    140 H                     0.185368
    141 H                     0.182030
    142 H                     0.193771
    143 H                     0.178977
    144 H                     0.184204
    145 H                     0.179282
    146 H                     0.194023
    147 H                     0.204155
    148 H                     0.188615
    149 H                     0.188898
    150 H                     0.204341
    151 H                     0.193116
    152 H                     0.184790
    153 H                     0.189881
    154 H                     0.183086
    155 H                     0.192138
    156 H                     0.196980
    157 H                     0.174155
    158 H                     0.190188
    159 H                     0.192833
    160 H                     0.189242
    161 H                     0.193796
    162 H                     0.180107
    163 H                     0.187439
    164 H                     0.194988
    165 H                     0.197084
    166 H                     0.193667
    167 H                     0.183735
    168 H                     0.214318
    169 H                     0.190258
    170 H                     0.181314
  ----------------------------------------
 
         RPA Excited State  2:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.022103
      2 C                     0.022184
      3 C                    -0.053476
      4 C                    -0.023395
      5 C                    -0.031711
      6 C                    -0.022523
      7 C                     0.008971
      8 C                    -0.028189
      9 C                     0.013770
     10 C                    -0.021927
     11 C                    -0.022846
     12 C                    -0.020560
     13 C                     0.013473
     14 C                     0.015075
     15 C                     0.019597
     16 C                    -0.039217
     17 C                    -0.089869
     18 C                     0.024298
     19 C                    -0.042126
     20 C                    -0.101238
     21 C                    -0.047979
     22 C                    -0.081509
     23 C                    -0.067272
     24 C                     0.013799
     25 C                    -0.052405
     26 C                    -0.032257
     27 C                    -0.023969
     28 C                    -0.038996
     29 C                    -0.018465
     30 C                    -0.010164
     31 C                    -0.008760
     32 C                     0.102220
     33 C                     0.001406
     34 C                     0.120758
     35 C                     0.009941
     36 C                     0.100091
     37 C                     0.065885
     38 C                     0.011988
     39 C                     0.061771
     40 C                     0.026881
     41 C                     0.005743
     42 C                    -0.041546
     43 C                    -0.028436
     44 C                    -0.087239
     45 C                    -0.103807
     46 C                    -0.039212
     47 C                    -0.024598
     48 C                    -0.046488
     49 C                    -0.053936
     50 C                    -0.059534
     51 C                    -0.000326
     52 C                    -0.021919
     53 C                     0.010547
     54 C                     0.012810
     55 C                    -0.019508
     56 C                    -0.025340
     57 C                    -0.012267
     58 C                     0.005404
     59 C                     0.011507
     60 C                     0.038287
     61 C                    -0.019199
     62 C                    -0.021061
     63 C                    -0.050473
     64 C                    -0.009147
     65 C                    -0.037668
     66 C                    -0.002738
     67 C                    -0.044191
     68 C                    -0.026878
     69 C                    -0.028969
     70 C                    -0.014402
     71 C                    -0.161365
     72 C                    -0.197592
     73 C                    -0.172471
     74 C                     0.006815
     75 C                    -0.001894
     76 C                     0.086660
     77 C                    -0.210665
     78 C                    -0.182811
     79 C                    -0.143767
     80 C                    -0.253443
     81 C                     0.037036
     82 C                     0.146426
     83 C                    -0.013940
     84 C                    -0.166399
     85 C                    -0.189137
     86 C                    -0.149401
     87 C                    -0.184899
     88 C                    -0.189682
     89 C                    -0.117869
     90 C                     0.160559
     91 C                    -0.212109
     92 C                    -0.198785
     93 C                     0.082375
     94 C                     0.053901
     95 C                    -0.197916
     96 C                    -0.210619
     97 C                     0.127038
     98 C                    -0.071062
     99 C                     0.120278
    100 C                    -0.006475
    101 C                    -0.186953
    102 C                    -0.199280
    103 C                    -0.167230
    104 C                    -0.185266
    105 C                    -0.177613
    106 C                     0.044499
    107 C                    -0.256187
    108 C                    -0.177775
    109 C                    -0.175346
    110 C                    -0.214577
    111 C                     0.116343
    112 C                    -0.016693
    113 C                    -0.003385
    114 C                    -0.185755
    115 C                    -0.179551
    116 C                    -0.180799
    117 C                    -0.174090
    118 C                    -0.219238
    119 C                     0.029223
    120 C                     0.191273
    121 C                    -0.236993
    122 C                    -0.204157
    123 C                     0.045162
    124 C                     0.114687
    125 C                    -0.201687
    126 C                    -0.207683
    127 C                     0.175585
    128 C                    -0.008936
    129 C                    -0.126207
    130 C                    -0.010091
    131 C                     0.107773
    132 C                    -0.167548
    133 C                    -0.168503
    134 C                    -0.204178
    135 H                     0.190251
    136 H                     0.182353
    137 H                     0.193503
    138 H                     0.200316
    139 H                     0.170964
    140 H                     0.185369
    141 H                     0.182040
    142 H                     0.193800
    143 H                     0.178997
    144 H                     0.184222
    145 H                     0.179223
    146 H                     0.195622
    147 H                     0.204159
    148 H                     0.188619
    149 H                     0.188897
    150 H                     0.204337
    151 H                     0.193111
    152 H                     0.184783
    153 H                     0.189881
    154 H                     0.183077
    155 H                     0.192138
    156 H                     0.196979
    157 H                     0.174154
    158 H                     0.190187
    159 H                     0.192833
    160 H                     0.189296
    161 H                     0.193793
    162 H                     0.180107
    163 H                     0.187436
    164 H                     0.194987
    165 H                     0.197082
    166 H                     0.193670
    167 H                     0.183734
    168 H                     0.214318
    169 H                     0.190263
    170 H                     0.181321
  ----------------------------------------
 
         RPA Excited State  3:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.055284
      2 C                     0.030041
      3 C                    -0.032949
      4 C                    -0.058084
      5 C                     0.012493
      6 C                    -0.025146
      7 C                    -0.037599
      8 C                    -0.071281
      9 C                     0.021017
     10 C                    -0.043687
     11 C                    -0.055681
     12 C                    -0.042088
     13 C                     0.012515
     14 C                     0.018253
     15 C                     0.049728
     16 C                    -0.010014
     17 C                    -0.064817
     18 C                     0.008811
     19 C                    -0.017041
     20 C                    -0.064474
     21 C                    -0.022720
     22 C                    -0.054552
     23 C                    -0.040478
     24 C                    -0.031999
     25 C                    -0.048998
     26 C                     0.009723
     27 C                    -0.046720
     28 C                    -0.039376
     29 C                    -0.061060
     30 C                    -0.037101
     31 C                    -0.010177
     32 C                     0.106963
     33 C                     0.000236
     34 C                     0.120651
     35 C                     0.012064
     36 C                     0.099848
     37 C                     0.065176
     38 C                     0.013309
     39 C                     0.062607
     40 C                     0.027127
     41 C                    -0.005529
     42 C                    -0.088301
     43 C                    -0.059378
     44 C                    -0.053699
     45 C                    -0.073854
     46 C                    -0.016839
     47 C                    -0.025291
     48 C                    -0.073246
     49 C                    -0.023469
     50 C                    -0.058345
     51 C                     0.022433
     52 C                    -0.009690
     53 C                     0.018907
     54 C                     0.039097
     55 C                    -0.051048
     56 C                    -0.049882
     57 C                    -0.021779
     58 C                    -0.014045
     59 C                     0.013306
     60 C                     0.037296
     61 C                    -0.007000
     62 C                    -0.041481
     63 C                    -0.031257
     64 C                    -0.017077
     65 C                    -0.023190
     66 C                    -0.024687
     67 C                    -0.024459
     68 C                    -0.008843
     69 C                     0.005405
     70 C                    -0.039133
     71 C                    -0.161765
     72 C                    -0.197646
     73 C                    -0.172975
     74 C                     0.006521
     75 C                    -0.006527
     76 C                     0.086197
     77 C                    -0.213042
     78 C                    -0.184129
     79 C                    -0.145039
     80 C                    -0.255646
     81 C                     0.036670
     82 C                     0.141722
     83 C                    -0.014427
     84 C                    -0.167025
     85 C                    -0.189233
     86 C                    -0.150124
     87 C                    -0.184930
     88 C                    -0.190569
     89 C                    -0.118275
     90 C                     0.158504
     91 C                    -0.212794
     92 C                    -0.198860
     93 C                     0.079423
     94 C                     0.055861
     95 C                    -0.199808
     96 C                    -0.208684
     97 C                     0.127577
     98 C                    -0.070639
     99 C                     0.127301
    100 C                    -0.005881
    101 C                    -0.186238
    102 C                    -0.199052
    103 C                    -0.166214
    104 C                    -0.185194
    105 C                    -0.176477
    106 C                     0.045066
    107 C                    -0.252610
    108 C                    -0.175116
    109 C                    -0.173707
    110 C                    -0.210959
    111 C                     0.116510
    112 C                    -0.010215
    113 C                    -0.003095
    114 C                    -0.185608
    115 C                    -0.179695
    116 C                    -0.180461
    117 C                    -0.174170
    118 C                    -0.218889
    119 C                     0.029912
    120 C                     0.191616
    121 C                    -0.234774
    122 C                    -0.206972
    123 C                     0.046923
    124 C                     0.111093
    125 C                    -0.201596
    126 C                    -0.208107
    127 C                     0.173362
    128 C                    -0.009251
    129 C                    -0.125438
    130 C                    -0.009799
    131 C                     0.107819
    132 C                    -0.167404
    133 C                    -0.168752
    134 C                    -0.204262
    135 H                     0.190254
    136 H                     0.182337
    137 H                     0.193970
    138 H                     0.200303
    139 H                     0.170962
    140 H                     0.185368
    141 H                     0.182028
    142 H                     0.193794
    143 H                     0.178980
    144 H                     0.184221
    145 H                     0.179274
    146 H                     0.195612
    147 H                     0.204149
    148 H                     0.188614
    149 H                     0.188902
    150 H                     0.204346
    151 H                     0.193125
    152 H                     0.184803
    153 H                     0.189881
    154 H                     0.183102
    155 H                     0.192129
    156 H                     0.196982
    157 H                     0.174160
    158 H                     0.190189
    159 H                     0.192836
    160 H                     0.188805
    161 H                     0.193792
    162 H                     0.180105
    163 H                     0.187459
    164 H                     0.194986
    165 H                     0.197083
    166 H                     0.193666
    167 H                     0.183732
    168 H                     0.214320
    169 H                     0.190255
    170 H                     0.181314
  ----------------------------------------
 
         RPA Excited State  4:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.018524
      2 C                     0.054024
      3 C                    -0.026475
      4 C                    -0.011599
      5 C                     0.016479
      6 C                    -0.005368
      7 C                     0.011460
      8 C                    -0.024654
      9 C                     0.024299
     10 C                    -0.016773
     11 C                    -0.017717
     12 C                    -0.017387
     13 C                     0.013778
     14 C                     0.018107
     15 C                     0.049077
     16 C                    -0.009866
     17 C                    -0.060226
     18 C                     0.025851
     19 C                    -0.005379
     20 C                    -0.056547
     21 C                    -0.005668
     22 C                    -0.051303
     23 C                    -0.034290
     24 C                     0.017640
     25 C                    -0.051641
     26 C                     0.009298
     27 C                    -0.014010
     28 C                    -0.039835
     29 C                    -0.016313
     30 C                    -0.007071
     31 C                    -0.009165
     32 C                     0.106785
     33 C                     0.000394
     34 C                     0.120798
     35 C                     0.010499
     36 C                     0.098065
     37 C                     0.066207
     38 C                     0.009845
     39 C                     0.061907
     40 C                     0.026427
     41 C                     0.012806
     42 C                    -0.035685
     43 C                    -0.027430
     44 C                    -0.040496
     45 C                    -0.073250
     46 C                    -0.007449
     47 C                    -0.024501
     48 C                    -0.042681
     49 C                    -0.024342
     50 C                    -0.059391
     51 C                     0.022431
     52 C                    -0.008896
     53 C                     0.032902
     54 C                     0.043892
     55 C                    -0.016305
     56 C                    -0.018296
     57 C                    -0.009115
     58 C                     0.008625
     59 C                     0.013368
     60 C                     0.038892
     61 C                    -0.001529
     62 C                    -0.019516
     63 C                    -0.032301
     64 C                    -0.009419
     65 C                    -0.018511
     66 C                    -0.000134
     67 C                    -0.010551
     68 C                     0.000858
     69 C                     0.007378
     70 C                    -0.005493
     71 C                    -0.161809
     72 C                    -0.197652
     73 C                    -0.172691
     74 C                     0.007150
     75 C                    -0.012809
     76 C                     0.074885
     77 C                    -0.214402
     78 C                    -0.191339
     79 C                    -0.151574
     80 C                    -0.257031
     81 C                     0.027991
     82 C                     0.128841
     83 C                    -0.014008
     84 C                    -0.168817
     85 C                    -0.189258
     86 C                    -0.151948
     87 C                    -0.185026
     88 C                    -0.191926
     89 C                    -0.135217
     90 C                     0.091868
     91 C                    -0.232123
     92 C                    -0.257418
     93 C                     0.037188
     94 C                     0.018207
     95 C                    -0.252549
     96 C                    -0.231923
     97 C                     0.064897
     98 C                    -0.086151
     99 C                     0.108013
    100 C                    -0.005945
    101 C                    -0.188583
    102 C                    -0.198992
    103 C                    -0.168059
    104 C                    -0.185540
    105 C                    -0.177823
    106 C                     0.034527
    107 C                    -0.257312
    108 C                    -0.185355
    109 C                    -0.182475
    110 C                    -0.215945
    111 C                     0.106544
    112 C                    -0.024986
    113 C                    -0.003221
    114 C                    -0.186023
    115 C                    -0.179631
    116 C                    -0.180805
    117 C                    -0.174051
    118 C                    -0.219203
    119 C                     0.018113
    120 C                     0.128273
    121 C                    -0.253956
    122 C                    -0.272670
    123 C                     0.009883
    124 C                     0.071269
    125 C                    -0.263716
    126 C                    -0.227177
    127 C                     0.112482
    128 C                    -0.022523
    129 C                    -0.125937
    130 C                    -0.011047
    131 C                     0.106695
    132 C                    -0.168149
    133 C                    -0.169185
    134 C                    -0.204189
    135 H                     0.190246
    136 H                     0.182324
    137 H                     0.193918
    138 H                     0.200228
    139 H                     0.170936
    140 H                     0.185338
    141 H                     0.181998
    142 H                     0.193777
    143 H                     0.178938
    144 H                     0.184209
    145 H                     0.179225
    146 H                     0.195565
    147 H                     0.204115
    148 H                     0.188183
    149 H                     0.188733
    150 H                     0.204331
    151 H                     0.193083
    152 H                     0.184738
    153 H                     0.189867
    154 H                     0.183056
    155 H                     0.192029
    156 H                     0.196945
    157 H                     0.174074
    158 H                     0.190133
    159 H                     0.192776
    160 H                     0.189289
    161 H                     0.193776
    162 H                     0.180097
    163 H                     0.187424
    164 H                     0.194996
    165 H                     0.197002
    166 H                     0.193588
    167 H                     0.183588
    168 H                     0.214317
    169 H                     0.190200
    170 H                     0.181310
  ----------------------------------------
 
         RPA Excited State  5:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.018695
      2 C                     0.052587
      3 C                    -0.030731
      4 C                    -0.017916
      5 C                     0.013925
      6 C                    -0.015702
      7 C                     0.008457
      8 C                    -0.027941
      9 C                     0.005410
     10 C                    -0.019093
     11 C                    -0.018557
     12 C                    -0.040028
     13 C                     0.012378
     14 C                     0.017367
     15 C                     0.034429
     16 C                    -0.010958
     17 C                    -0.060957
     18 C                     0.018256
     19 C                    -0.005722
     20 C                    -0.058011
     21 C                    -0.018510
     22 C                    -0.065503
     23 C                    -0.049510
     24 C                     0.010225
     25 C                    -0.074614
     26 C                    -0.010503
     27 C                    -0.043393
     28 C                    -0.055054
     29 C                    -0.033979
     30 C                    -0.017440
     31 C                    -0.029194
     32 C                     0.077930
     33 C                    -0.024024
     34 C                     0.099580
     35 C                    -0.025540
     36 C                     0.065643
     37 C                     0.025978
     38 C                    -0.047922
     39 C                     0.027683
     40 C                    -0.016904
     41 C                     0.002777
     42 C                    -0.050355
     43 C                    -0.042044
     44 C                    -0.047204
     45 C                    -0.080386
     46 C                    -0.029703
     47 C                    -0.048811
     48 C                    -0.067950
     49 C                    -0.060171
     50 C                    -0.074785
     51 C                     0.018474
     52 C                    -0.011573
     53 C                     0.031141
     54 C                     0.042172
     55 C                    -0.016832
     56 C                    -0.019175
     57 C                    -0.009540
     58 C                     0.007155
     59 C                     0.011474
     60 C                     0.038114
     61 C                    -0.012031
     62 C                    -0.047031
     63 C                    -0.059042
     64 C                    -0.017707
     65 C                    -0.026346
     66 C                    -0.001494
     67 C                    -0.011626
     68 C                    -0.000750
     69 C                    -0.000389
     70 C                    -0.015039
     71 C                    -0.161864
     72 C                    -0.197648
     73 C                    -0.173035
     74 C                     0.006526
     75 C                    -0.007674
     76 C                     0.086508
     77 C                    -0.213443
     78 C                    -0.183413
     79 C                    -0.145915
     80 C                    -0.254698
     81 C                     0.035920
     82 C                     0.144571
     83 C                    -0.014059
     84 C                    -0.166651
     85 C                    -0.189171
     86 C                    -0.149652
     87 C                    -0.184924
     88 C                    -0.190085
     89 C                    -0.118191
     90 C                     0.159911
     91 C                    -0.211844
     92 C                    -0.200148
     93 C                     0.082395
     94 C                     0.054077
     95 C                    -0.198163
     96 C                    -0.209642
     97 C                     0.128225
     98 C                    -0.071271
     99 C                     0.123448
    100 C                    -0.006197
    101 C                    -0.186641
    102 C                    -0.199186
    103 C                    -0.166794
    104 C                    -0.185246
    105 C                    -0.177104
    106 C                     0.044241
    107 C                    -0.254919
    108 C                    -0.177539
    109 C                    -0.174770
    110 C                    -0.213856
    111 C                     0.116453
    112 C                    -0.015452
    113 C                    -0.003372
    114 C                    -0.185797
    115 C                    -0.179600
    116 C                    -0.180743
    117 C                    -0.174175
    118 C                    -0.219146
    119 C                     0.029043
    120 C                     0.188525
    121 C                    -0.237959
    122 C                    -0.208931
    123 C                     0.043533
    124 C                     0.108397
    125 C                    -0.204360
    126 C                    -0.210078
    127 C                     0.169628
    128 C                    -0.009959
    129 C                    -0.125534
    130 C                    -0.010349
    131 C                     0.107730
    132 C                    -0.167617
    133 C                    -0.168814
    134 C                    -0.204269
    135 H                     0.190253
    136 H                     0.182337
    137 H                     0.193983
    138 H                     0.200298
    139 H                     0.170959
    140 H                     0.185366
    141 H                     0.182034
    142 H                     0.193792
    143 H                     0.178989
    144 H                     0.184216
    145 H                     0.179284
    146 H                     0.195338
    147 H                     0.204157
    148 H                     0.188607
    149 H                     0.188871
    150 H                     0.204342
    151 H                     0.193117
    152 H                     0.184791
    153 H                     0.189881
    154 H                     0.183088
    155 H                     0.192135
    156 H                     0.196980
    157 H                     0.174153
    158 H                     0.190187
    159 H                     0.192833
    160 H                     0.189338
    161 H                     0.193783
    162 H                     0.180108
    163 H                     0.187440
    164 H                     0.194988
    165 H                     0.197080
    166 H                     0.193660
    167 H                     0.183727
    168 H                     0.214320
    169 H                     0.190251
    170 H                     0.181313
  ----------------------------------------
 
         RPA Excited State  6:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.044056
      2 C                     0.050433
      3 C                    -0.063593
      4 C                    -0.015693
      5 C                     0.002864
      6 C                    -0.006152
      7 C                     0.012380
      8 C                    -0.025828
      9 C                     0.009052
     10 C                    -0.038429
     11 C                    -0.032081
     12 C                    -0.015953
     13 C                    -0.015097
     14 C                    -0.015374
     15 C                     0.038115
     16 C                    -0.006785
     17 C                    -0.059083
     18 C                     0.016611
     19 C                    -0.007507
     20 C                    -0.058468
     21 C                    -0.008838
     22 C                    -0.051049
     23 C                    -0.035593
     24 C                     0.019641
     25 C                    -0.099767
     26 C                     0.006069
     27 C                    -0.031914
     28 C                    -0.074535
     29 C                    -0.016622
     30 C                    -0.025603
     31 C                    -0.009180
     32 C                     0.108338
     33 C                     0.002661
     34 C                     0.120161
     35 C                     0.012113
     36 C                     0.097166
     37 C                     0.066222
     38 C                     0.013205
     39 C                     0.063207
     40 C                     0.026075
     41 C                    -0.007230
     42 C                    -0.037861
     43 C                    -0.025492
     44 C                    -0.043698
     45 C                    -0.078285
     46 C                    -0.009812
     47 C                    -0.063518
     48 C                    -0.059900
     49 C                    -0.021660
     50 C                    -0.111466
     51 C                     0.017314
     52 C                    -0.027345
     53 C                     0.029907
     54 C                     0.047193
     55 C                    -0.009752
     56 C                    -0.019425
     57 C                    -0.030972
     58 C                    -0.000157
     59 C                    -0.017924
     60 C                     0.011277
     61 C                    -0.016628
     62 C                    -0.022496
     63 C                    -0.042837
     64 C                    -0.024775
     65 C                    -0.019145
     66 C                    -0.035261
     67 C                    -0.014440
     68 C                    -0.034713
     69 C                    -0.010971
     70 C                    -0.015156
     71 C                    -0.159547
     72 C                    -0.197287
     73 C                    -0.170668
     74 C                     0.009566
     75 C                    -0.016242
     76 C                     0.083688
     77 C                    -0.202969
     78 C                    -0.176644
     79 C                    -0.148200
     80 C                    -0.237863
     81 C                     0.032557
     82 C                     0.146255
     83 C                    -0.006878
     84 C                    -0.163189
     85 C                    -0.188514
     86 C                    -0.143833
     87 C                    -0.184116
     88 C                    -0.186146
     89 C                    -0.081293
     90 C                     0.111140
     91 C                    -0.206415
     92 C                    -0.238416
     93 C                     0.072053
     94 C                     0.036789
     95 C                    -0.233028
     96 C                    -0.206184
     97 C                     0.079423
     98 C                    -0.060113
     99 C                     0.114259
    100 C                    -0.002824
    101 C                    -0.186280
    102 C                    -0.198647
    103 C                    -0.163684
    104 C                    -0.185096
    105 C                    -0.174292
    106 C                     0.041582
    107 C                    -0.244088
    108 C                    -0.168051
    109 C                    -0.178289
    110 C                    -0.199509
    111 C                     0.113056
