    0.978628     1.0457     0.0000247131 
    0.976142     1.1651     0.0010539203 
    0.979055     1.2834     0.0003350716 
   -0.012033     1.7228     1.2396270502 
    0.521423     1.7888     0.0009528066 
    0.435612     1.8009     0.0007916532 
    0.973122     1.8401     0.0076888288 
    0.899032     1.9145     0.0008702173 
    0.049750     1.9349     0.0009894102 
   -0.016176     1.9547     0.0069098402 
   -0.008505     2.0114     0.0003296790 
    0.960395     2.0314     0.0016410641 
   -0.012001     2.0631     0.0054350425 
   -0.019064     2.0796     0.0041109350 
    0.977161     2.1137     0.0003556123 
   -0.008612     2.1364     0.0153886265 
    0.921149     2.1525     0.0012070425 
    0.022266     2.1556     0.0024780487 
   -0.015261     2.1976     0.0057155641 
   -0.010210     2.2133     0.0146494008 
    0.973598     2.2381     0.0000048121 
   -0.007784     2.2444     0.0260346471 
    0.864595     2.2716     0.0006465822 
    0.020839     2.2833     0.0078051061 
    0.031511     2.3007     0.0006902825 
   -0.013409     2.3209     0.0095624093 
   -0.008149     2.3429     0.0015563626 
    0.021504     2.3790     0.0089706851 
    0.931058     2.3905     0.0007479983 
   -0.019140     2.4092     0.0144107585 
    0.000282     2.4408     0.0025398638 
    0.089023     2.4526     0.0121224145 
   -0.009565     2.4602     0.0008339003 
    0.848577     2.4728     0.0005090878 
   -0.017200     2.5124     0.0028619501 
   -0.014058     2.5392     0.0046639537 
    0.002973     2.5498     0.0183117322 
    0.947241     2.5869     0.0007464368 
    0.935543     2.5897     0.0051235792 
   -0.007227     2.6060     0.0130111294 
