
  STATE     Energy(eV)    Strength             Q 1           Q 2
     0(GR)     --           --             0.019626      -0.019626
     1       1.0457     0.0000247131      -0.978626       0.978628
     2       1.1651     0.0010539203      -0.976141       0.976142
     3       1.2834     0.0003350716      -0.979051       0.979055
     4       1.7228     1.2396270502       0.012033      -0.012033
     5       1.7888     0.0009528066      -0.521426       0.521423
     6       1.8009     0.0007916532      -0.435611       0.435612
     7       1.8401     0.0076888288      -0.973122       0.973122
     8       1.9145     0.0008702173      -0.899031       0.899032
     9       1.9349     0.0009894102      -0.049743       0.049750
    10       1.9547     0.0069098402       0.016178      -0.016176
    11       2.0114     0.0003296790       0.008504      -0.008505
    12       2.0314     0.0016410641      -0.960395       0.960395
    13       2.0631     0.0054350425       0.012009      -0.012001
    14       2.0796     0.0041109350       0.019064      -0.019064
    15       2.1137     0.0003556123      -0.977160       0.977161
    16       2.1364     0.0153886265       0.008604      -0.008612
    17       2.1525     0.0012070425      -0.921155       0.921149
    18       2.1556     0.0024780487      -0.022266       0.022266
    19       2.1976     0.0057155641       0.015258      -0.015261
    20       2.2133     0.0146494008       0.010204      -0.010210
    21       2.2381     0.0000048121      -0.973593       0.973598
    22       2.2444     0.0260346471       0.007781      -0.007784
    23       2.2716     0.0006465822      -0.864594       0.864595
    24       2.2833     0.0078051061      -0.020836       0.020839
    25       2.3007     0.0006902825      -0.031511       0.031511
    26       2.3209     0.0095624093       0.013411      -0.013409
    27       2.3429     0.0015563626       0.008147      -0.008149
    28       2.3790     0.0089706851      -0.021498       0.021504
    29       2.3905     0.0007479983      -0.931061       0.931058
    30       2.4092     0.0144107585       0.019145      -0.019140
    31       2.4408     0.0025398638      -0.000295       0.000282
    32       2.4526     0.0121224145      -0.089027       0.089023
    33       2.4602     0.0008339003       0.009563      -0.009565
    34       2.4728     0.0005090878      -0.848579       0.848577
    35       2.5124     0.0028619501       0.017198      -0.017200
    36       2.5392     0.0046639537       0.014064      -0.014058
    37       2.5498     0.0183117322      -0.002969       0.002973
    38       2.5869     0.0007464368      -0.947239       0.947241
    39       2.5897     0.0051235792      -0.935547       0.935543
    40       2.6060     0.0130111294       0.007224      -0.007227
