  STATES      Coupling(eV)
   0    1    -0.0021575950 
   0    2     0.0081948830 
   0    3    -0.0074645490 
   0    4    -0.1207634000 
   0    5     0.0200968400 
   0    6    -0.0213274000 
   0    7     0.0032612990 
   0    8     0.0032822660 
   0    9    -0.0408833800 
   0   10    -0.5421085000 
   0   11     0.1214391000 
   0   12    -0.0073872680 
   0   13    -0.0876867400 
   0   14     0.9569603000 
   0   15    -0.0091650890 
   0   16     0.0155098300 
   0   17     0.0057106620 
   0   18    -0.0331265200 
   0   19     0.0606548700 
   0   20     0.1730826000 
   0   21     0.0011052490 
   0   22     0.1988102000 
   0   23    -0.0039217340 
   0   24     0.0851536200 
   0   25    -0.0589021200 
   0   26     0.1004900000 
   0   27    -0.2430028000 
   0   28    -0.0479916200 
   0   29     0.0036895850 
   0   30    -0.4764325000 
   0   31    -0.0263220300 
   0   32    -0.0241145200 
   0   33    -0.1586370000 
   0   34     0.0093193400 
   0   35    -0.1006044000 
   0   36     0.2991672000 
   0   37     0.1299158000 
   0   38    -0.0024537690 
   0   39    -0.0137537300 
   0   40    -0.1439463000 
   1    2     0.0057524110 
   1    3     0.0676729700 
   1    4    -0.0049736640 
   1    5    -0.0037453710 
   1    6    -0.0033971820 
   1    7     0.1260842000 
   1    8     0.0007225099 
   1    9     0.0000671524 
   1   10     0.0004395608 
   1   11     0.0073216370 
   1   12     0.0282456300 
   1   13    -0.0010041090 
   1   14    -0.0017521440 
   1   15    -0.4829636000 
   1   16     0.0021344280 
   1   17    -0.0056686960 
   1   18    -0.0004707734 
   1   19    -0.0003671010 
   1   20    -0.0006626376 
   1   21     0.1037223000 
   1   22     0.0026677730 
   1   23     0.0002408965 
   1   24     0.0016787860 
   1   25     0.0004174662 
   1   26    -0.0000538978 
   1   27     0.0013141770 
   1   28    -0.0063024980 
   1   29     0.0197335800 
   1   30     0.0025971130 
   1   31     0.0010858800 
   1   32    -0.0009129091 
   1   33     0.0005760478 
   1   34    -0.0081047490 
   1   35    -0.0007537773 
   1   36     0.0011592390 
   1   37    -0.0005079924 
