          Ground-State Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                     0.017919
      2 C                    -0.004041
      3 C                    -0.010520
      4 C                     0.001256
      5 C                     0.002902
      6 C                     0.007206
      7 C                     0.022579
      8 C                    -0.016416
      9 C                     0.023322
     10 C                    -0.021763
     11 C                    -0.036953
     12 C                     0.018750
     13 C                    -0.015737
     14 C                    -0.046481
     15 C                     0.011356
     16 C                     0.014661
     17 C                    -0.008121
     18 C                    -0.019052
     19 C                    -0.000480
     20 C                    -0.024874
     21 C                    -0.056101
     22 C                    -0.035605
     23 C                    -0.054865
     24 C                     0.005713
     25 C                    -0.020458
     26 C                     0.000346
     27 C                     0.016826
     28 C                    -0.044674
     29 C                    -0.011985
     30 C                    -0.002272
     31 C                     0.042327
     32 C                     0.093126
     33 C                     0.010746
     34 C                     0.062782
     35 C                     0.059415
     36 C                     0.072896
     37 C                     0.015319
     38 C                     0.081146
     39 C                     0.033940
     40 C                     0.117903
     41 C                    -0.035671
     42 C                    -0.012864
     43 C                     0.004065
     44 C                    -0.029929
     45 C                     0.005651
     46 C                    -0.021245
     47 C                    -0.030204
     48 C                    -0.018580
     49 C                    -0.049808
     50 C                    -0.060360
     51 C                     0.032049
     52 C                    -0.024599
     53 C                     0.003091
     54 C                     0.003526
     55 C                    -0.022480
     56 C                    -0.013639
     57 C                    -0.021973
     58 C                    -0.023666
     59 C                     0.013867
     60 C                     0.001971
     61 C                     0.014527
     62 C                     0.004625
     63 C                    -0.009090
     64 C                    -0.012286
     65 C                    -0.001778
     66 C                    -0.030270
     67 C                     0.024195
     68 C                     0.001642
     69 C                     0.017035
     70 C                    -0.008436
     71 C                    -0.178336
     72 C                    -0.162204
     73 C                    -0.248115
     74 C                     0.056666
     75 C                    -0.006661
     76 C                     0.040361
     77 C                    -0.235384
     78 C                    -0.195532
     79 C                    -0.147603
     80 C                    -0.289251
     81 C                     0.121663
     82 C                     0.015685
     83 C                     0.029617
     84 C                    -0.211126
     85 C                    -0.197589
     86 C                    -0.162343
     87 C                    -0.168079
     88 C                    -0.184903
     89 C                    -0.082335
     90 C                     0.052234
     91 C                    -0.204631
     92 C                    -0.247039
     93 C                     0.048656
     94 C                     0.035731
     95 C                    -0.231244
     96 C                    -0.242271
     97 C                     0.132035
     98 C                    -0.074635
     99 C                     0.046468
    100 C                    -0.051886
    101 C                    -0.186988
    102 C                    -0.179009
    103 C                    -0.186237
    104 C                    -0.182775
    105 C                    -0.170516
    106 C                     0.037056
    107 C                    -0.229250
    108 C                    -0.186829
    109 C                    -0.184209
    110 C                    -0.224311
    111 C                     0.082514
    112 C                    -0.042938
    113 C                    -0.051055
    114 C                    -0.181403
    115 C                    -0.186051
    116 C                    -0.170656
    117 C                    -0.187917
    118 C                    -0.178983
    119 C                     0.001638
    120 C                     0.083754
    121 C                    -0.193092
    122 C                    -0.282927
    123 C                     0.127279
    124 C                     0.003836
    125 C                    -0.246845
    126 C                    -0.233485
    127 C                     0.064786
    128 C                    -0.005004
    129 C                    -0.159924
    130 C                     0.124401
    131 C                     0.064818
    132 C                    -0.194932
    133 C                    -0.223098
    134 C                    -0.178118
    135 H                     0.173016
    136 H                     0.188976
    137 H                     0.188023
    138 H                     0.194634
    139 H                     0.182142
    140 H                     0.174215
    141 H                     0.185679
    142 H                     0.196108
    143 H                     0.183798
    144 H                     0.175774
    145 H                     0.182694
    146 H                     0.195796
    147 H                     0.193669
    148 H                     0.193972
    149 H                     0.195953
    150 H                     0.198516
    151 H                     0.188614
    152 H                     0.192340
    153 H                     0.181422
    154 H                     0.181361
    155 H                     0.189843
    156 H                     0.196367
    157 H                     0.180508
    158 H                     0.178703
    159 H                     0.190106
    160 H                     0.183464
    161 H                     0.195496
    162 H                     0.183234
    163 H                     0.181908
    164 H                     0.195089
    165 H                     0.197572
    166 H                     0.196692
    167 H                     0.198842
    168 H                     0.200317
    169 H                     0.188157
    170 H                     0.194116
  ----------------------------------------
 
         RPA Excited State  1:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.008319
      2 C                    -0.041837
      3 C                    -0.017369
      4 C                    -0.048027
      5 C                    -0.002455
      6 C                    -0.008390
      7 C                    -0.018733
      8 C                    -0.045784
      9 C                     0.020478
     10 C                    -0.033626
     11 C                    -0.058615
     12 C                    -0.000115
     13 C                    -0.020309
     14 C                    -0.046717
     15 C                     0.009182
     16 C                     0.009738
     17 C                    -0.014358
     18 C                    -0.034034
     19 C                    -0.009139
     20 C                    -0.027105
     21 C                    -0.059058
     22 C                    -0.041968
     23 C                    -0.058422
     24 C                    -0.027369
     25 C                    -0.021576
     26 C                    -0.009572
     27 C                    -0.001754
     28 C                    -0.049514
     29 C                    -0.052163
     30 C                    -0.025041
     31 C                     0.042414
     32 C                     0.093139
     33 C                     0.010789
     34 C                     0.061139
     35 C                     0.059312
     36 C                     0.072470
     37 C                     0.014648
     38 C                     0.080959
     39 C                     0.033964
     40 C                     0.117661
     41 C                    -0.059613
     42 C                    -0.050899
     43 C                    -0.042457
     44 C                    -0.033173
     45 C                    -0.002523
     46 C                    -0.026351
     47 C                    -0.034337
     48 C                    -0.039388
     49 C                    -0.058127
     50 C                    -0.061988
     51 C                     0.024832
     52 C                    -0.033309
     53 C                    -0.000085
     54 C                     0.001265
     55 C                    -0.066668
     56 C                    -0.048723
     57 C                    -0.037413
     58 C                    -0.043108
     59 C                     0.013332
     60 C                    -0.001799
     61 C                     0.011127
     62 C                    -0.026639
     63 C                    -0.011078
     64 C                    -0.034304
     65 C                    -0.025344
     66 C                    -0.069955
     67 C                    -0.017539
     68 C                    -0.007069
     69 C                     0.008772
     70 C                    -0.062762
     71 C                    -0.173021
     72 C                    -0.162000
     73 C                    -0.239073
     74 C                     0.061292
     75 C                     0.052347
     76 C                     0.047742
     77 C                    -0.206401
     78 C                    -0.179105
     79 C                    -0.126202
     80 C                    -0.260031
     81 C                     0.130236
     82 C                     0.091786
     83 C                     0.034918
     84 C                    -0.206594
     85 C                    -0.195124
     86 C                    -0.153903
