          Ground-State Mulliken Net Atomic Charges
     87 C                    -0.167361
     88 C                    -0.174560
     89 C                    -0.079319
     90 C                     0.113566
     91 C                    -0.188530
     92 C                    -0.214048
     93 C                     0.082111
     94 C                     0.052324
     95 C                    -0.192473
     96 C                    -0.236061
     97 C                     0.177196
     98 C                    -0.073370
     99 C                     0.096026
    100 C                    -0.048441
    101 C                    -0.179975
    102 C                    -0.178442
    103 C                    -0.178650
    104 C                    -0.182366
    105 C                    -0.164092
    106 C                     0.043876
    107 C                    -0.212179
    108 C                    -0.173635
    109 C                    -0.171370
    110 C                    -0.207802
    111 C                     0.090325
    112 C                     0.005163
    113 C                    -0.049534
    114 C                    -0.179186
    115 C                    -0.185651
    116 C                    -0.168875
    117 C                    -0.187516
    118 C                    -0.176017
    119 C                     0.002566
    120 C                     0.124409
    121 C                    -0.185924
    122 C                    -0.247202
    123 C                     0.142242
    124 C                     0.030531
    125 C                    -0.219612
    126 C                    -0.214675
    127 C                     0.112306
    128 C                    -0.003150
    129 C                    -0.158743
    130 C                     0.124907
    131 C                     0.065275
    132 C                    -0.193816
    133 C                    -0.217662
    134 C                    -0.177000
    135 H                     0.173019
    136 H                     0.189146
    137 H                     0.188178
    138 H                     0.194677
    139 H                     0.182141
    140 H                     0.174183
    141 H                     0.185130
    142 H                     0.196167
    143 H                     0.183640
    144 H                     0.175662
    145 H                     0.182894
    146 H                     0.195872
    147 H                     0.193754
    148 H                     0.193980
    149 H                     0.195954
    150 H                     0.198525
    151 H                     0.188635
    152 H                     0.192531
    153 H                     0.181428
    154 H                     0.181498
    155 H                     0.189921
    156 H                     0.196527
    157 H                     0.180508
    158 H                     0.178706
    159 H                     0.190128
    160 H                     0.183583
    161 H                     0.195607
    162 H                     0.183234
    163 H                     0.182013
    164 H                     0.195084
    165 H                     0.197593
    166 H                     0.196726
    167 H                     0.198872
    168 H                     0.200442
    169 H                     0.188144
    170 H                     0.194244
  ----------------------------------------
 
         RPA Excited State  2:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.000242
      2 C                    -0.030454
      3 C                    -0.057805
      4 C                    -0.001086
      5 C                    -0.040327
      6 C                    -0.007921
      7 C                     0.019862
      8 C                    -0.023179
      9 C                    -0.002978
     10 C                    -0.038093
     11 C                    -0.044868
     12 C                     0.018574
     13 C                    -0.021412
     14 C                    -0.055680
     15 C                    -0.011209
     16 C                     0.005653
     17 C                    -0.011522
     18 C                    -0.026717
     19 C                    -0.040798
     20 C                    -0.062894
     21 C                    -0.099508
     22 C                    -0.042666
     23 C                    -0.103487
     24 C                     0.001176
     25 C                    -0.030082
     26 C                    -0.005708
     27 C                     0.007683
     28 C                    -0.056680
     29 C                    -0.017503
     30 C                    -0.020411
     31 C                     0.041605
     32 C                     0.091789
     33 C                     0.011031
     34 C                     0.062739
     35 C                     0.058770
     36 C                     0.072337
     37 C                     0.014702
     38 C                     0.080702
     39 C                     0.033696
     40 C                     0.117757
     41 C                    -0.050202
     42 C                    -0.016397
     43 C                    -0.000608
     44 C                    -0.068034
     45 C                    -0.001438
     46 C                    -0.060148
     47 C                    -0.038504
     48 C                    -0.029827
     49 C                    -0.058705
     50 C                    -0.071769
     51 C                     0.023481
     52 C                    -0.029313
     53 C                    -0.021150
     54 C                    -0.021614
     55 C                    -0.024371
     56 C                    -0.021352
     57 C                    -0.036516
     58 C                    -0.032088
     59 C                     0.003570
     60 C                    -0.004854
     61 C                    -0.004995
     62 C                     0.004074
     63 C                    -0.038772
     64 C                    -0.024518
     65 C                    -0.012582
     66 C                    -0.048665
     67 C                     0.002087
     68 C                    -0.046883
     69 C                    -0.036736
     70 C                    -0.011443
     71 C                    -0.173012
     72 C                    -0.162000
     73 C                    -0.239067
     74 C                     0.061304
     75 C                     0.052437
     76 C                     0.047764
     77 C                    -0.205993
     78 C                    -0.178943
     79 C                    -0.125814
     80 C                    -0.259184
     81 C                     0.130281
     82 C                     0.091855
     83 C                     0.034840
     84 C                    -0.206494
     85 C                    -0.195520
     86 C                    -0.154188
     87 C                    -0.167311
     88 C                    -0.174578
     89 C                    -0.079295
     90 C                     0.113321
     91 C                    -0.188552
     92 C                    -0.214142
     93 C                     0.081967
     94 C                     0.052296
     95 C                    -0.192569
     96 C                    -0.236036
     97 C                     0.177121
     98 C                    -0.073353
     99 C                     0.096052
    100 C                    -0.048437
    101 C                    -0.179970
    102 C                    -0.178441
    103 C                    -0.178643
    104 C                    -0.182365
    105 C                    -0.164086
    106 C                     0.043891
    107 C                    -0.212147
    108 C                    -0.173596
    109 C                    -0.171352
    110 C                    -0.207747
    111 C                     0.090322
    112 C                     0.005278
    113 C                    -0.049530
    114 C                    -0.179180
    115 C                    -0.185650
    116 C                    -0.168870
    117 C                    -0.187515
    118 C                    -0.176009
    119 C                     0.002576
    120 C                     0.124478
    121 C                    -0.185891
    122 C                    -0.247164
    123 C                     0.142282
    124 C                     0.030628
    125 C                    -0.219614
    126 C                    -0.214569
    127 C                     0.112293
    128 C                    -0.002960
    129 C                    -0.158753
    130 C                     0.124907
    131 C                     0.065269
    132 C                    -0.193821
    133 C                    -0.217648
    134 C                    -0.177001
    135 H                     0.173019
    136 H                     0.189146
    137 H                     0.188179
    138 H                     0.194677
    139 H                     0.182145
    140 H                     0.174219
    141 H                     0.185621
    142 H                     0.196170
    143 H                     0.183940
    144 H                     0.175760
    145 H                     0.182886
    146 H                     0.195873
    147 H                     0.193749
    148 H                     0.193980
    149 H                     0.195954
    150 H                     0.198525
    151 H                     0.188635
    152 H                     0.192531
    153 H                     0.181428
    154 H                     0.181498
    155 H                     0.189922
    156 H                     0.196527
    157 H                     0.180508
    158 H                     0.178706
    159 H                     0.190129
    160 H                     0.183583
    161 H                     0.195607
    162 H                     0.183234
    163 H                     0.182014
    164 H                     0.195084
    165 H                     0.197593
    166 H                     0.196727
    167 H                     0.198873
    168 H                     0.200442
    169 H                     0.188146
    170 H                     0.194244
  ----------------------------------------
 
         RPA Excited State  3:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                     0.015950
      2 C                    -0.004498
      3 C                    -0.014567
      4 C                    -0.004742
      5 C                     0.002833
      6 C                     0.005582
      7 C                     0.011112
      8 C                    -0.028692
      9 C                     0.017219
     10 C                    -0.049663
     11 C                    -0.054190
     12 C                     0.012521
     13 C                    -0.047179
     14 C                    -0.071134
     15 C                     0.009136
     16 C                    -0.004882
     17 C                    -0.030568
     18 C                    -0.020177
     19 C                    -0.013596
     20 C                    -0.043324
     21 C                    -0.084276
     22 C                    -0.050392
     23 C                    -0.062974
     24 C                    -0.007514
     25 C                    -0.046867
     26 C                    -0.042991
     27 C                     0.005893
     28 C                    -0.092350
     29 C                    -0.017870
     30 C                    -0.037537
     31 C                     0.037259
     32 C                     0.091146
     33 C                     0.006394
     34 C                     0.058359
     35 C                     0.057490
     36 C                     0.066968
     37 C                     0.010847
     38 C                     0.079887
     39 C                     0.033088
     40 C                     0.115364
     41 C                    -0.049903
     42 C                    -0.024503
     43 C                     0.002047
     44 C                    -0.054601
     45 C                    -0.036842
     46 C                    -0.031673
     47 C                    -0.060247
     48 C                    -0.040602
     49 C                    -0.073214
     50 C                    -0.108135
     51 C                    -0.004046
     52 C                    -0.061569
     53 C                    -0.010237
     54 C                    -0.006346
     55 C                    -0.026827
     56 C                    -0.016634
     57 C                    -0.036009
     58 C                    -0.041203
     59 C                    -0.022682
     60 C                    -0.038091
     61 C                     0.012449
     62 C                    -0.000411
     63 C                    -0.012912
     64 C                    -0.022808
     65 C                    -0.009062
     66 C                    -0.045739
     67 C                     0.020133
     68 C                    -0.002610
     69 C                     0.016467
     70 C                    -0.015197
     71 C                    -0.173111
     72 C                    -0.162005
     73 C                    -0.239263
     74 C                     0.061210
     75 C                     0.051016
     76 C                     0.047771
     77 C                    -0.206991
     78 C                    -0.179281
     79 C                    -0.126688
     80 C                    -0.260381
     81 C                     0.130130
     82 C                     0.089903
     83 C                     0.034594
     84 C                    -0.206249
     85 C                    -0.195193
     86 C                    -0.154324
     87 C                    -0.167403
     88 C                    -0.174715
     89 C                    -0.079512
     90 C                     0.113420
     91 C                    -0.189027
     92 C                    -0.213654
     93 C                     0.081470
     94 C                     0.052819
     95 C                    -0.192621
     96 C                    -0.235692
     97 C                     0.177521
     98 C                    -0.073262
     99 C                     0.097452
    100 C                    -0.048290
    101 C                    -0.179741
    102 C                    -0.178422
    103 C                    -0.178380
    104 C                    -0.182346
    105 C                    -0.163873
    106 C                     0.044034
    107 C                    -0.211539
    108 C                    -0.173162
    109 C                    -0.170983
    110 C                    -0.207129
    111 C                     0.090441
    112 C                     0.006763
    113 C                    -0.049473
    114 C                    -0.179108
    115 C                    -0.185638
    116 C                    -0.168805
    117 C                    -0.187501
    118 C                    -0.175904
    119 C                     0.002594
    120 C                     0.124959
    121 C                    -0.185516
    122 C                    -0.247108
    123 C                     0.142835
    124 C                     0.030350
    125 C                    -0.219011
    126 C                    -0.215110
    127 C                     0.112579
    128 C                    -0.003125
    129 C                    -0.158769
    130 C                     0.124904
    131 C                     0.065275
    132 C                    -0.193809
    133 C                    -0.217772
    134 C                    -0.177013
    135 H                     0.173019
    136 H                     0.189142
    137 H                     0.188176
    138 H                     0.194673
    139 H                     0.182144
    140 H                     0.174137
    141 H                     0.185373
    142 H                     0.196163
    143 H                     0.183887
    144 H                     0.175669
    145 H                     0.182880
    146 H                     0.195873
    147 H                     0.193750
    148 H                     0.193980
    149 H                     0.195954
    150 H                     0.198526
    151 H                     0.188635
    152 H                     0.192537
    153 H                     0.181429
    154 H                     0.181502
    155 H                     0.189924
    156 H                     0.196533
    157 H                     0.180508
    158 H                     0.178706
    159 H                     0.190129
    160 H                     0.183586
    161 H                     0.195611
    162 H                     0.183234
    163 H                     0.182017
    164 H                     0.195084
    165 H                     0.197593
    166 H                     0.196727
    167 H                     0.198871
    168 H                     0.200441
    169 H                     0.188146
    170 H                     0.194241
  ----------------------------------------
 
         RPA Excited State  4:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                     0.017872
      2 C                    -0.004173
      3 C                    -0.010520
      4 C                     0.001191
      5 C                     0.002906
      6 C                     0.007180
      7 C                     0.022553
      8 C                    -0.016515
      9 C                     0.023312
     10 C                    -0.021813
     11 C                    -0.036971
     12 C                     0.018738
     13 C                    -0.015729
     14 C                    -0.046479
     15 C                     0.011355
     16 C                     0.014666
     17 C                    -0.008158
     18 C                    -0.019154
     19 C                    -0.000512
     20 C                    -0.024878
     21 C                    -0.056181
     22 C                    -0.035660
     23 C                    -0.054821
     24 C                     0.005687
     25 C                    -0.020490
     26 C                     0.000351
     27 C                     0.016838
     28 C                    -0.044678
     29 C                    -0.012007
     30 C                    -0.002367
     31 C                     0.042275
     32 C                     0.093102
     33 C                     0.010839
     34 C                     0.062659
     35 C                     0.059388
     36 C                     0.072864
     37 C                     0.015308
     38 C                     0.081129
     39 C                     0.033919
     40 C                     0.117864
     41 C                    -0.035696
     42 C                    -0.012987
     43 C                     0.004168
     44 C                    -0.029848
     45 C                     0.005680
     46 C                    -0.021249
     47 C                    -0.030231
     48 C                    -0.018625
     49 C                    -0.049818
     50 C                    -0.060364
     51 C                     0.032067
     52 C                    -0.024581
     53 C                     0.003092
     54 C                     0.003512
     55 C                    -0.022527
     56 C                    -0.013643
     57 C                    -0.021987
     58 C                    -0.023661
     59 C                     0.013876
     60 C                     0.001959
     61 C                     0.014471
     62 C                     0.004605
     63 C                    -0.009074
     64 C                    -0.012296
     65 C                    -0.001748
     66 C                    -0.030307
     67 C                     0.024169
     68 C                     0.001650
     69 C                     0.017015
     70 C                    -0.008527
     71 C                    -0.175010
     72 C                    -0.162149
     73 C                    -0.241206
     74 C                     0.060763
     75 C                     0.030243
     76 C                     0.035515
     77 C                    -0.217558
     78 C                    -0.190958
     79 C                    -0.139584
     80 C                    -0.272285
     81 C                     0.118853
     82 C                     0.059013
     83 C                     0.033675
     84 C                    -0.209176
     85 C                    -0.195615
     86 C                    -0.157917
     87 C                    -0.167827
     88 C                    -0.178028
     89 C                    -0.096296
     90 C                     0.031816
     91 C                    -0.214539
     92 C                    -0.264860
     93 C                     0.034001
     94 C                     0.015807
     95 C                    -0.245196
     96 C                    -0.263217
     97 C                     0.116459
     98 C                    -0.089861
     99 C                     0.085600
    100 C                    -0.047047
    101 C                    -0.180648
    102 C                    -0.178640
    103 C                    -0.179381
    104 C                    -0.182215
    105 C                    -0.164306
    106 C                     0.034768
    107 C                    -0.212375
    108 C                    -0.178440
    109 C                    -0.178578
    110 C                    -0.206282
    111 C                     0.077625
    112 C                     0.004133
    113 C                    -0.049145
    114 C                    -0.179525
    115 C                    -0.185631
    116 C                    -0.168822
    117 C                    -0.187503
    118 C                    -0.175397
    119 C                    -0.013765
    120 C                     0.071692
    121 C                    -0.208455
    122 C                    -0.298533
    123 C                     0.108571
    124 C                    -0.008964
    125 C                    -0.270926
    126 C                    -0.243606
    127 C                     0.051933
    128 C                    -0.023587
    129 C                    -0.159907
    130 C                     0.123532
    131 C                     0.063548
    132 C                    -0.194484
    133 C                    -0.219770
    134 C                    -0.177245
    135 H                     0.173003
    136 H                     0.189070
    137 H                     0.188172
    138 H                     0.194642
    139 H                     0.182104
    140 H                     0.174170
    141 H                     0.185612
    142 H                     0.196118
    143 H                     0.183877
    144 H                     0.175759
    145 H                     0.182790
    146 H                     0.195648
    147 H                     0.193747
    148 H                     0.193953
    149 H                     0.195898
    150 H                     0.198538
    151 H                     0.188611
    152 H                     0.192508
    153 H                     0.181398
    154 H                     0.181453
    155 H                     0.189946
    156 H                     0.196511
    157 H                     0.180472
    158 H                     0.178669
    159 H                     0.190104
    160 H                     0.183546
    161 H                     0.195610
    162 H                     0.183224
    163 H                     0.182018
    164 H                     0.195079
    165 H                     0.197595
    166 H                     0.196422
    167 H                     0.198002
    168 H                     0.200332
    169 H                     0.188139
    170 H                     0.194190
  ----------------------------------------
 
         RPA Excited State  5:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                     0.011017
      2 C                    -0.010711
      3 C                    -0.012049
      4 C                     0.000558
      5 C                    -0.000036
      6 C                    -0.011460
      7 C                     0.021284
      8 C                    -0.017357
      9 C                     0.012981
     10 C                    -0.023301
     11 C                    -0.038124
     12 C                     0.010798
     13 C                    -0.017611
     14 C                    -0.049513
     15 C                     0.000076
     16 C                     0.013062
     17 C                    -0.010565
     18 C                    -0.041470
     19 C                    -0.001632
     20 C                    -0.028355
     21 C                    -0.072310
     22 C                    -0.066289
     23 C                    -0.087500
     24 C                    -0.011209
     25 C                    -0.051731
     26 C                    -0.007346
     27 C                    -0.003641
     28 C                    -0.052053
     29 C                    -0.032861
     30 C                    -0.012043
     31 C                     0.000559
     32 C                     0.052691
     33 C                    -0.020192
     34 C                     0.026896
     35 C                     0.024225
     36 C                     0.038834
     37 C                    -0.018571
     38 C                     0.052583
     39 C                    -0.005111
     40 C                     0.078754
     41 C                    -0.071990
     42 C                    -0.031558
     43 C                    -0.014781
     44 C                    -0.044056
     45 C                    -0.004470
     46 C                    -0.037165
     47 C                    -0.060255
     48 C                    -0.031822
     49 C                    -0.078720
     50 C                    -0.066622
     51 C                     0.031598
     52 C                    -0.026879
     53 C                     0.002721
     54 C                     0.002106
     55 C                    -0.023169
     56 C                    -0.014953
     57 C                    -0.025465
     58 C                    -0.026355
     59 C                     0.011402
     60 C                    -0.003714
     61 C                    -0.013234
     62 C                    -0.015261
     63 C                    -0.022498
     64 C                    -0.024939
     65 C                    -0.018468
     66 C                    -0.030608
     67 C                     0.019558
     68 C                    -0.006573
     69 C                     0.015863
     70 C                    -0.016930
     71 C                    -0.173068
     72 C                    -0.162010
     73 C                    -0.239149
     74 C                     0.061287
     75 C                     0.051979
     76 C                     0.047739
     77 C                    -0.206512
     78 C                    -0.179077
     79 C                    -0.126843
     80 C                    -0.259437
     81 C                     0.130286
     82 C                     0.091886
     83 C                     0.034613
     84 C                    -0.207015
     85 C                    -0.194980
     86 C                    -0.153704
     87 C                    -0.167600
     88 C                    -0.175641
     89 C                    -0.079301
     90 C                     0.113392
     91 C                    -0.188480
     92 C                    -0.214358
     93 C                     0.082080
     94 C                     0.052229
     95 C                    -0.192594
     96 C                    -0.236073
     97 C                     0.177048
     98 C                    -0.073363
     99 C                     0.095959
    100 C                    -0.048437
    101 C                    -0.179978
    102 C                    -0.178442
    103 C                    -0.178649
    104 C                    -0.182365
    105 C                    -0.164096
    106 C                     0.043853
    107 C                    -0.212185
    108 C                    -0.173654
    109 C                    -0.171388
    110 C                    -0.207815
    111 C                     0.090300
    112 C                     0.005075
    113 C                    -0.049534
    114 C                    -0.179189
    115 C                    -0.185652
    116 C                    -0.168876
    117 C                    -0.187516
    118 C                    -0.176020
    119 C                     0.002560
    120 C                     0.124240
    121 C                    -0.185978
    122 C                    -0.247316
    123 C                     0.142123
    124 C                     0.030468
    125 C                    -0.219718
    126 C                    -0.214659
    127 C                     0.112074
    128 C                    -0.003095
    129 C                    -0.158767
    130 C                     0.124860
    131 C                     0.065253
    132 C                    -0.193819
    133 C                    -0.217681
    134 C                    -0.177027
    135 H                     0.173019
    136 H                     0.189144
    137 H                     0.188178
    138 H                     0.194648
    139 H                     0.182141
    140 H                     0.173005
    141 H                     0.185340
    142 H                     0.196164
    143 H                     0.183936
    144 H                     0.175785
    145 H                     0.182855
    146 H                     0.195872
    147 H                     0.193753
    148 H                     0.193980
    149 H                     0.195954
    150 H                     0.198525
    151 H                     0.188635
    152 H                     0.192531
    153 H                     0.181428
    154 H                     0.181498
    155 H                     0.189921
    156 H                     0.196527
    157 H                     0.180508
    158 H                     0.178706
    159 H                     0.190128
    160 H                     0.183582
    161 H                     0.195607
    162 H                     0.183234
    163 H                     0.182013
    164 H                     0.195084
    165 H                     0.197593
    166 H                     0.196726
    167 H                     0.198871
    168 H                     0.200441
    169 H                     0.188145
    170 H                     0.194243
  ----------------------------------------
 
         RPA Excited State  6:  Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.007005
      2 C                    -0.036313
      3 C                    -0.020784
      4 C                    -0.029524
      5 C                     0.000447
      6 C                    -0.003608
      7 C                    -0.008345
      8 C                    -0.015996
      9 C                     0.029150
     10 C                     0.020730
     11 C                    -0.046194
     12 C                     0.003324
     13 C                    -0.003309
     14 C                     0.004197
     15 C                     0.011605
     16 C                     0.023062
     17 C                    -0.013747
     18 C                    -0.032546
     19 C                     0.020450
     20 C                    -0.010522
     21 C                    -0.032739
     22 C                    -0.044678
     23 C                    -0.004980
     24 C                    -0.000189
     25 C                     0.019923
     26 C                    -0.015833
     27 C                     0.008591
     28 C                    -0.034412
     29 C                    -0.035766
     30 C                     0.026154
     31 C                     0.045566
     32 C                     0.095600
     33 C                     0.012730
     34 C                     0.060380
     35 C                     0.061926
     36 C                     0.077587
     37 C                     0.014728
     38 C                     0.081840
     39 C                     0.034483
     40 C                     0.117273
     41 C                    -0.036050
     42 C                    -0.034156
     43 C                    -0.009080
     44 C                    -0.007349
     45 C                    -0.008905
     46 C                     0.011385
     47 C                    -0.024733
     48 C                    -0.021172
     49 C                    -0.061300
     50 C                    -0.017507
     51 C                     0.023343
     52 C                    -0.008317
     53 C                     0.044511
     54 C                     0.016779
     55 C                    -0.055541
     56 C                    -0.003133
     57 C                    -0.002638
     58 C                    -0.032799
     59 C                     0.038626
     60 C                    -0.000815
     61 C                     0.011473
     62 C                    -0.026325
     63 C                    -0.008309
     64 C                    -0.039853
     65 C                    -0.025452
     66 C                    -0.081514
     67 C                    -0.001722
     68 C                    -0.007557
     69 C                     0.018204
     70 C                    -0.056848
     71 C                    -0.178204
     72 C                    -0.162187
     73 C                    -0.247918
     74 C                     0.056816
     75 C                    -0.005662
     76 C                     0.040511
     77 C                    -0.233668
     78 C                    -0.195459
     79 C                    -0.146352
     80 C                    -0.287975
     81 C                     0.121656
     82 C                     0.016575
     83 C                     0.029699
     84 C                    -0.210352
     85 C                    -0.194990
     86 C                    -0.161140
     87 C                    -0.167392
     88 C                    -0.182638
     89 C                    -0.081918
     90 C                     0.052418
     91 C                    -0.204329
     92 C                    -0.246361
     93 C                     0.048729
     94 C                     0.036777
     95 C                    -0.231224
     96 C                    -0.241189
     97 C                     0.132395
     98 C                    -0.073778
     99 C                     0.048807
    100 C                    -0.051478
    101 C                    -0.186524
    102 C                    -0.178967
    103 C                    -0.185661
    104 C                    -0.182709
    105 C                    -0.170094
    106 C                     0.037173
    107 C                    -0.228092
    108 C                    -0.186244
    109 C                    -0.183537
    110 C                    -0.223264
    111 C                     0.082700
